location_district,location_area,agency,count,rank_no
"okres Kysucké Nové Mesto","Dolný Vadičov","BeMi realitná kancelária",1,3
"okres Kysucké Nové Mesto","Dolný Vadičov","B10 Slovensko, a. s.",1,4
"okres Kysucké Nové Mesto","Horný Vadičov","ROSA reality",2,1
"okres Kysucké Nové Mesto","Horný Vadičov","TARGETreal s. r. o.",2,2
"okres Kysucké Nové Mesto","Horný Vadičov","RK4 REALITY",2,3
"okres Kysucké Nové Mesto","Horný Vadičov","DRR INVEST, s. r. o.",1,4
"okres Kysucké Nové Mesto","Horný Vadičov","Nové bývanie",1,5
"okres Kysucké Nové Mesto","Horný Vadičov","Vianema s.r.o.",1,6
"okres Kysucké Nové Mesto","Horný Vadičov","R2 SK, s.r.o.",1,7
"okres Kysucké Nové Mesto","Horný Vadičov","TUreality s.r.o.",1,8
"okres Kysucké Nové Mesto","Horný Vadičov","PRIMA reality s.r.o.",1,9
"okres Kysucké Nové Mesto","Horný Vadičov","Mamud Reality s. r. o.",1,10
"okres Kysucké Nové Mesto","Horný Vadičov","SLNOVRAT, s.r.o.",1,11
"okres Kysucké Nové Mesto",Kamence,"Istrofinal, s. r. o.",21,1
"okres Kysucké Nové Mesto",Kamence,"Pro Real, s. r. o. realitná kancelária",2,2
"okres Kysucké Nové Mesto",Kamence,"MGM reality",2,3
"okres Kysucké Nové Mesto",Kamence,Reality+,2,4
"okres Kysucké Nové Mesto",Kamence,"TRI LIPY, s. r. o.",1,5
"okres Kysucké Nové Mesto",Kamence,"MG real, s.r.o.",1,6
"okres Kysucké Nové Mesto",Kamence,"WFG reality, s.r.o.",1,7
"okres Kysucké Nové Mesto",Kamence,"Realitná kancelária RED, s.r.o.",1,8
"okres Kysucké Nové Mesto",Kamence,"Realitné kancelárie SR",1,9
"okres Kysucké Nové Mesto",Kamence,"Renovo Reality",1,10
"okres Kysucké Nové Mesto","Kysucký Lieskovec","ROMDOM, s. r. o",3,1
"okres Kysucké Nové Mesto","Kysucký Lieskovec","PRIVAT Reality spol.s.r.o",1,2
"okres Kysucké Nové Mesto","Kysucký Lieskovec","MGM reality",1,3
"okres Kysucké Nové Mesto","Kysucký Lieskovec","TUreality s.r.o.",1,4
"okres Kysucké Nové Mesto",Lodno,"WFG reality, s.r.o.",2,1
"okres Kysucké Nové Mesto","Lopušné Pažite","BeMi realitná kancelária",2,1
"okres Kysucké Nové Mesto","Lopušné Pažite","RES GROUP, s.r.o.",1,2
"okres Kysucké Nové Mesto",Nábrežie,"ROSA reality",1,1
"okres Kysucké Nové Mesto",Nábrežie,"HOLESTIAK.sk reality s.r.o.",1,2
"okres Kysucké Nové Mesto",Nábrežie,"Realitné kancelárie SR",1,3
"okres Kysucké Nové Mesto",Nesluša,"ROMDOM, s. r. o",2,1
"okres Kysucké Nové Mesto",Nesluša,"MGM reality",2,2
"okres Kysucké Nové Mesto",Nesluša,"HOLESTIAK.sk reality s.r.o.",1,3
"okres Kysucké Nové Mesto",Nesluša,"Reality IQ, s.r.o.",1,4
"okres Kysucké Nové Mesto",Nesluša,"B10 Slovensko, a. s.",1,5
"okres Kysucké Nové Mesto",Nesluša,"Realitka pre každého",1,6
"okres Kysucké Nové Mesto",Ochodnica,"Realitné kancelárie SR",1,1
"okres Kysucké Nové Mesto",Ochodnica,"Pro Real, s. r. o. realitná kancelária",1,2
"okres Kysucké Nové Mesto",Oškerda,"WFG reality, s.r.o.",1,1
"okres Kysucké Nové Mesto",Povina,"DreamReality s.r.o.",3,1
"okres Kysucké Nové Mesto",Povina,"Pro Real, s. r. o. realitná kancelária",1,2
"okres Kysucké Nové Mesto",Povina,"Nové bývanie",1,3
"okres Kysucké Nové Mesto",Povina,"BeMi realitná kancelária",1,4
"okres Kysucké Nové Mesto",Povina,Envire,1,5
"okres Kysucké Nové Mesto",Povina,"1. Reality Rent, s.r.o.",1,6
"okres Kysucké Nové Mesto",Povina,"RS Mansory s.r.o.",1,7
"okres Kysucké Nové Mesto",Povina,"MGM reality",1,8
"okres Kysucké Nové Mesto",Radoľa,"BR ACADEMY, s. r. o.",1,1
"okres Kysucké Nové Mesto",Radoľa,"Safe reality s. r. o.",1,2
"okres Kysucké Nové Mesto",Rudina,"WFG reality, s.r.o.",3,1
"okres Kysucké Nové Mesto",Rudina,"DreamReality s.r.o.",2,2
"okres Kysucké Nové Mesto",Rudinka,Reality+,1,1
"okres Kysucké Nové Mesto",Rudinská,"BR ACADEMY, s. r. o.",2,1
"okres Kysucké Nové Mesto",Rudinská,"Vianema s.r.o.",1,2
"okres Kysucké Nové Mesto",Rudinská,"MGM reality",1,3
"okres Kysucké Nové Mesto",Rudinská,"Reality Alpia",1,4
"okres Kysucké Nové Mesto",Sídlisko,"Safe reality s. r. o.",4,1
"okres Kysucké Nové Mesto",Sídlisko,"Realitná kancelária DOM",3,2
"okres Kysucké Nové Mesto",Sídlisko,"DRR INVEST, s. r. o.",1,3
"okres Kysucké Nové Mesto",Sídlisko,"HOLESTIAK.sk reality s.r.o.",1,4
"okres Kysucké Nové Mesto",Sídlisko,"ROSA reality",1,5
"okres Kysucké Nové Mesto",Sídlisko,"Direct Real, spol. s r.o.",1,6
"okres Kysucké Nové Mesto",Sídlisko,"TUreality s.r.o.",1,7
"okres Kysucké Nové Mesto",Sídlisko,"Vianema s.r.o.",1,8
"okres Kysucké Nové Mesto",Sídlisko,"BR ACADEMY, s. r. o.",1,9
"okres Kysucké Nové Mesto",Sídlisko,"Realitné kancelárie SR",1,10
"okres Kysucké Nové Mesto",Sídlisko,"Realitná kancelária RED, s.r.o.",1,11
"okres Kysucké Nové Mesto",Sídlisko,"1. Reality Rent, s.r.o.",1,12
"okres Kysucké Nové Mesto",Sídlisko,"BeMi realitná kancelária",1,13
"okres Kysucké Nové Mesto",Snežnica,"Realitné kancelárie SR",3,1
"okres Kysucké Nové Mesto",Snežnica,"Safe reality s. r. o.",2,2
"okres Kysucké Nové Mesto",Snežnica,"WFG reality, s.r.o.",2,3
"okres Kysucké Nové Mesto",Snežnica,"PhDr. Miloš Kocúr - BKM Consulting",1,4
"okres Kysucké Nové Mesto",Snežnica,"BeMi realitná kancelária",1,5
"okres Kysucké Nové Mesto",Snežnica,"Reality IQ, s.r.o.",1,6
"okres Kysucké Nové Mesto",Snežnica,"Realitná kancelária",1,7
"okres Kysucké Nové Mesto",Snežnica,"RK4 REALITY",1,8
"okres Kysucké Nové Mesto",Snežnica,"RS Mansory s.r.o.",1,9
"okres Kysucké Nové Mesto",Stred,"WFG reality, s.r.o.",1,1
"okres Kysucké Nové Mesto",Stred,"Realitné kancelárie SR",1,2
"okres Kysucké Nové Mesto",Stred,"BeMi realitná kancelária",1,3
"okres Kysucké Nové Mesto",Stred,"Safe reality s. r. o.",1,4
"okres Kysucké Nové Mesto",Stred,"SLNOVRAT, s.r.o.",1,5
"okres Kysucké Nové Mesto",Suľkov,"1. Reality Rent, s.r.o.",3,1
"okres Kysucké Nové Mesto",Suľkov,"Realitná kancelária",2,2
"okres Kysucké Nové Mesto",Suľkov,"HOLESTIAK.sk reality s.r.o.",2,3
"okres Kysucké Nové Mesto",Suľkov,"BR ACADEMY, s. r. o.",1,4
"okres Kysucké Nové Mesto",Suľkov,"Realitné kancelárie SR",1,5
"okres Kysucké Nové Mesto",Suľkov,"Pro Real, s. r. o. realitná kancelária",1,6
"okres Liptovský Mikuláš",Andice,"RESIDENCE realitná kancelária",1,1
"okres Liptovský Mikuláš",Belánska,"HALO reality, s.r.o.",1,1
"okres Liptovský Mikuláš",Belánska,"Reality Alpia",1,2
"okres Liptovský Mikuláš",Belánska,"Direct Real, spol. s r.o.",1,3
"okres Liptovský Mikuláš",Beňadiková,"Direct Real, spol. s r.o.",2,1
"okres Liptovský Mikuláš",Beňadiková,"GERT , s.r.o.",1,2
"okres Liptovský Mikuláš",Beňadiková,"RE/MAX Slovakia",1,3
"okres Liptovský Mikuláš",Beňadiková,"RESIDENCE realitná kancelária",1,4
"okres Liptovský Mikuláš",Benice,"TUreality s.r.o.",1,1
"okres Liptovský Mikuláš",Bobrovec,"REALITY SPOLU",1,1
"okres Liptovský Mikuláš",Bobrovec,"RE/MAX Slovakia",1,2
"okres Liptovský Mikuláš",Bobrovec,"Reality Alpia",1,3
"okres Liptovský Mikuláš",Bobrovec,"GERT , s.r.o.",1,4
"okres Liptovský Mikuláš",Bobrovník,"RE/MAX Slovakia",2,1
"okres Liptovský Mikuláš",Bobrovník,liptoreal,1,2
"okres Liptovský Mikuláš",Bobrovník,"RK SPIRIT s.r.o.",1,3
"okres Liptovský Mikuláš",Bodice,"RESIDENCE realitná kancelária",1,1
"okres Liptovský Mikuláš",Bodice,"Reality Alpia",1,2
"okres Liptovský Mikuláš",Bodice,"bezmaklérov, s.r.o.",1,3
"okres Liptovský Mikuláš",Bukovina,"LEGEND realitná spoločnosť  s. r. o.",1,1
"okres Liptovský Mikuláš",Bukovina,"REALITY SPOLU",1,2
"okres Liptovský Mikuláš",Bukovina,"TUreality s.r.o.",1,3
"okres Liptovský Mikuláš",Celiny,"RK SPIRIT s.r.o.",8,1
"okres Liptovský Mikuláš",Demänová,"RK SPIRIT s.r.o.",7,1
"okres Liptovský Mikuláš",Demänová,"Reality Alpia",4,2
"okres Liptovský Mikuláš",Demänová,liptoreal,3,3
"okres Liptovský Mikuláš",Demänová,G-REAL,3,4
"okres Liptovský Mikuláš",Demänová,"RESIDENCE realitná kancelária",3,5
"okres Liptovský Mikuláš",Demänová,"RE/MAX Slovakia",2,6
"okres Liptovský Mikuláš",Demänová,jabyvam.sk,2,7
"okres Liptovský Mikuláš",Demänová,"REALITY SPOLU",1,8
"okres Liptovský Mikuláš",Demänová,"PROMINENT REAL s.r.o.",1,9
"okres Liptovský Mikuláš",Demänová,"TUreality s.r.o.",1,10
"okres Liptovský Mikuláš",Demänová,"HALO reality, s.r.o.",1,11
"okres Liptovský Mikuláš",Demänová,"ML realitný& finančny servis s.r.o. , BrokerSoft s.r.o. , Monika Launerová - SZČO",1,12
"okres Liptovský Mikuláš",Demänová,"OVERENÉ REALITY",1,13
"okres Liptovský Mikuláš",Demänová,"Svoboda&Williams Slovakia s.r.o.",1,14
"okres Liptovský Mikuláš","Demänovská Dolina","RESIDENCE realitná kancelária",18,1
"okres Liptovský Mikuláš","Demänovská Dolina","MK-CORP s.r.o.",5,2
"okres Liptovský Mikuláš","Demänovská Dolina","Tatry mountain resorts, a.s.",5,3
"okres Liptovský Mikuláš","Demänovská Dolina",G-REAL,4,4
"okres Liptovský Mikuláš","Demänovská Dolina",Limaxreal,3,5
"okres Liptovský Mikuláš","Demänovská Dolina","Tatra Invest",3,6
"okres Liptovský Mikuláš","Demänovská Dolina","Occam New Home",3,7
"okres Liptovský Mikuláš","Demänovská Dolina","DLUGO reality",3,8
"okres Liptovský Mikuláš","Demänovská Dolina","J.M.H. s.r.o.",2,9
"okres Liptovský Mikuláš","Demänovská Dolina","CreeX Reality s.r.o.",1,10
"okres Liptovský Mikuláš","Demänovská Dolina","Reality Now",1,11
"okres Liptovský Mikuláš","Demänovská Dolina","Realitné kancelárie SR",1,12
"okres Liptovský Mikuláš","Demänovská Dolina","Juraj Hegyi Reality & Development s.r.o.",1,13
"okres Liptovský Mikuláš","Demänovská Dolina","Nové bývanie",1,14
"okres Liptovský Mikuláš","Demänovská Dolina","ML realitný& finančny servis s.r.o. , BrokerSoft s.r.o. , Monika Launerová - SZČO",1,15
"okres Liptovský Mikuláš","Demänovská Dolina","RE/MAX Slovakia",1,16
"okres Liptovský Mikuláš","Demänovská Dolina","HD reality group s.r.o",1,17
"okres Liptovský Mikuláš","Demänovská Dolina","RK 38- Miroslav Antoška",1,18
"okres Liptovský Mikuláš","Demänovská Dolina","United Professionals s.r.o.",1,19
"okres Liptovský Mikuláš","Demänovská Dolina","RexDeco s.r.o.",1,20
"okres Liptovský Mikuláš","Demänovská Dolina","Romantické Chalupy, s.r.o.",1,21
"okres Liptovský Mikuláš","Demänovská Dolina","BeMi realitná kancelária",1,22
"okres Liptovský Mikuláš","Demänovská Dolina","BEDES | Realitná kancelária",1,23
"okres Liptovský Mikuláš","Demänovská Dolina",ZEIRA,1,24
"okres Liptovský Mikuláš","Demänovská Dolina","XEMAR realitná spoločnosť s.r.o.",1,25
"okres Liptovský Mikuláš","Demänovská Dolina","AstonReal s.r.o.",1,26
"okres Liptovský Mikuláš",Dovalovo,"TUreality s.r.o.",5,1
"okres Liptovský Mikuláš",Dovalovo,"HALO reality, s.r.o.",3,2
"okres Liptovský Mikuláš",Dovalovo,"RECLOUD Reality a.s.",2,3
"okres Liptovský Mikuláš",Dovalovo,"GERT , s.r.o.",1,4
"okres Liptovský Mikuláš",Dúbrava,"HALO reality, s.r.o.",2,1
"okres Liptovský Mikuláš",Dúbrava,"Direct Real, spol. s r.o.",2,2
"okres Liptovský Mikuláš",Dúbrava,"RK SPIRIT s.r.o.",2,3
"okres Liptovský Mikuláš",Dúbrava,"FatraReal s. r. o.",1,4
"okres Liptovský Mikuláš",Dúbrava,"Romantické Chalupy, s.r.o.",1,5
"okres Liptovský Mikuláš",Dúbrava,"Reality Alpia",1,6
"okres Liptovský Mikuláš",Galovany,jabyvam.sk,1,1
"okres Liptovský Mikuláš",Gôtovany,"Direct Real, spol. s r.o.",2,1
"okres Liptovský Mikuláš",Gôtovany,"OVERENÉ REALITY",1,2
"okres Liptovský Mikuláš",Gôtovany,"REALITY SPOLU",1,3
"okres Liptovský Mikuláš",Gôtovany,"HALO reality, s.r.o.",1,4
"okres Liptovský Mikuláš",Huty,"HALO reality, s.r.o.",1,1
"okres Liptovský Mikuláš",Hybe,"U9, a.s.",2,1
"okres Liptovský Mikuláš",Hybe,"Direct Real, spol. s r.o.",1,2
"okres Liptovský Mikuláš",Hybe,"RESIDENCE realitná kancelária",1,3
"okres Liptovský Mikuláš",Hybe,"Realitné kancelárie SR",1,4
"okres Liptovský Mikuláš",Iľanovo,"Reality Alpia",1,1
"okres Liptovský Mikuláš",Iľanovo,"NajBývanie, s.r.o.",1,2
"okres Liptovský Mikuláš",Ižipovce,"PT-com s. r. o.",3,1
"okres Liptovský Mikuláš",Ižipovce,"TUreality s.r.o.",2,2
"okres Liptovský Mikuláš",Ižipovce,"Direct Real, spol. s r.o.",1,3
"okres Liptovský Mikuláš",Ižipovce,"RE/MAX Slovakia",1,4
"okres Liptovský Mikuláš",Ižipovce,Limaxreal,1,5
"okres Liptovský Mikuláš",Ižipovce,"RECLOUD Reality a.s.",1,6
"okres Liptovský Mikuláš",Jakubovany,"Romantické Chalupy, s.r.o.",1,1
"okres Liptovský Mikuláš",Jakubovany,"Reality Alpia",1,2
"okres Liptovský Mikuláš",Jamník,"Realitné kancelárie SR",3,1
"okres Liptovský Mikuláš",Jamník,"RESIDENCE realitná kancelária",2,2
"okres Liptovský Mikuláš",Jamník,"Delta Property s.r.o.",1,3
"okres Liptovský Mikuláš",Jamník,"BEŇO REALITY",1,4
"okres Liptovský Mikuláš",Jamník,jabyvam.sk,1,5
"okres Liptovský Mikuláš","Kráľova Lehota","RIEŠIME BÝVANIE",1,1
"okres Liptovský Mikuláš",Kvačany,"Realitná kancelária",2,1
"okres Liptovský Mikuláš",Kvačany,"agreal.sk, spol. s r.o.",1,2
"okres Liptovský Mikuláš",Kvačany,liptoreal,1,3
"okres Liptovský Mikuláš",Kvačany,"RK SPIRIT s.r.o.",1,4
"okres Liptovský Mikuláš",Lazisko,"New Ways Reality&Financie",1,1
"okres Liptovský Mikuláš",Lazisko,"RK SPIRIT s.r.o.",1,2
"okres Liptovský Mikuláš",Lazisko,donidDevelop,1,3
"okres Liptovský Mikuláš",Lazisko,"Direct Real, spol. s r.o.",1,4
"okres Liptovský Mikuláš",Lazisko,"RESIDENCE realitná kancelária",1,5
"okres Liptovský Mikuláš","Liptovská Anna","M&G, s.r.o.",4,1
"okres Liptovský Mikuláš","Liptovská Anna","Reality AK, spol. s r.o.",1,2
"okres Liptovský Mikuláš","Liptovská Anna","TARGETreal s. r. o.",1,3
"okres Liptovský Mikuláš","Liptovská Kokava","RE/MAX Slovakia",2,1
"okres Liptovský Mikuláš","Liptovská Kokava","BeMi realitná kancelária",1,2
"okres Liptovský Mikuláš","Liptovská Kokava","Romantické Chalupy, s.r.o.",1,3
"okres Liptovský Mikuláš","Liptovská Kokava","ARBIZ real estate & finance s. r. o.",1,4
"okres Liptovský Mikuláš","Liptovská Mara - Tatralandia","RK SPIRIT s.r.o.",5,1
"okres Liptovský Mikuláš","Liptovská Mara - Tatralandia","Prvá Realitná Kancelária, s.r.o.",3,2
"okres Liptovský Mikuláš","Liptovská Mara - Tatralandia","ARCHEUS Partners a.s.",2,3
"okres Liptovský Mikuláš","Liptovská Mara - Tatralandia","RE/MAX Slovakia",1,4
"okres Liptovský Mikuláš","Liptovská Mara - Tatralandia","OVERENÉ REALITY",1,5
"okres Liptovský Mikuláš","Liptovská Mara - Tatralandia","RESIDENCE realitná kancelária",1,6
"okres Liptovský Mikuláš","Liptovská Mara - Tatralandia","HALO reality, s.r.o.",1,7
"okres Liptovský Mikuláš","Liptovská Mara - Tatralandia","BeMi realitná kancelária",1,8
"okres Liptovský Mikuláš","Liptovská Ondrašová","Bosen Group s.r.o.",4,1
"okres Liptovský Mikuláš","Liptovská Ondrašová","AstonReal s.r.o.",2,2
"okres Liptovský Mikuláš","Liptovská Ondrašová","RESIDENCE realitná kancelária",2,3
"okres Liptovský Mikuláš","Liptovská Ondrašová","Realitné kancelárie SR",1,4
"okres Liptovský Mikuláš","Liptovská Ondrašová","OVERENÉ REALITY",1,5
"okres Liptovský Mikuláš","Liptovská Ondrašová","TUreality s.r.o.",1,6
"okres Liptovský Mikuláš","Liptovská Ondrašová","BEŇO REALITY",1,7
"okres Liptovský Mikuláš","Liptovská Ondrašová","KRUPPKY, s.r.o.",1,8
"okres Liptovský Mikuláš","Liptovská Porúbka","HALO reality, s.r.o.",2,1
"okres Liptovský Mikuláš","Liptovská Porúbka","TUreality s.r.o.",1,2
"okres Liptovský Mikuláš","Liptovská Porúbka","HD reality group s.r.o",1,3
"okres Liptovský Mikuláš","Liptovská Porúbka","RIEŠIME BÝVANIE",1,4
"okres Liptovský Mikuláš","Liptovská Sielnica","Q REAL s.r.o.",3,1
"okres Liptovský Mikuláš","Liptovská Sielnica","Direct Real, spol. s r.o.",2,2
"okres Liptovský Mikuláš","Liptovská Sielnica","BEŇO REALITY",1,3
"okres Liptovský Mikuláš","Liptovská Sielnica","HALO reality, s.r.o.",1,4
"okres Liptovský Mikuláš","Liptovská Sielnica","NajBývanie, s.r.o.",1,5
"okres Liptovský Mikuláš","Liptovská Sielnica","NFA Group, s.r.o.",1,6
"okres Liptovský Mikuláš","Liptovská Sielnica","RECLOUD Reality a.s.",1,7
"okres Liptovský Mikuláš","Liptovská Sielnica","TUreality s.r.o.",1,8
"okres Liptovský Mikuláš","Liptovská Sielnica",Limaxreal,1,9
"okres Liptovský Mikuláš","Liptovské Beharovce","bezmaklérov, s.r.o.",1,1
"okres Liptovský Mikuláš","Liptovské Beharovce","OVERENÉ REALITY",1,2
"okres Liptovský Mikuláš","Liptovské Beharovce","TUreality s.r.o.",1,3
"okres Liptovský Mikuláš","Liptovské Kľačany","AstonReal s.r.o.",2,1
"okres Liptovský Mikuláš","Liptovské Kľačany","Bosen Group s.r.o.",1,2
"okres Liptovský Mikuláš","Liptovské Kľačany","GERT , s.r.o.",1,3
"okres Liptovský Mikuláš","Liptovské Kľačany","HD reality group s.r.o",1,4
"okres Liptovský Mikuláš","Liptovské Matiašovce","RE/MAX Slovakia",1,1
"okres Liptovský Mikuláš","Liptovský Ján","TUreality s.r.o.",3,1
"okres Liptovský Mikuláš","Liptovský Ján","RE/MAX Slovakia",2,2
"okres Liptovský Mikuláš","Liptovský Ján","RESIDENCE realitná kancelária",2,3
"okres Liptovský Mikuláš","Liptovský Ján","GERT , s.r.o.",1,4
"okres Liptovský Mikuláš","Liptovský Ján","KRUPPKY, s.r.o.",1,5
"okres Liptovský Mikuláš","Liptovský Ján","HALO reality, s.r.o.",1,6
"okres Liptovský Mikuláš","Liptovský Ján","bezmaklérov, s.r.o.",1,7
"okres Liptovský Mikuláš","Liptovský Ján","Reality Alpia",1,8
"okres Liptovský Mikuláš","Liptovský Ján","RIEŠIME BÝVANIE",1,9
"okres Liptovský Mikuláš","Liptovský Ondrej","Romantické Chalupy, s.r.o.",1,1
"okres Liptovský Mikuláš","Liptovský Peter","Realitné kancelárie SR",1,1
"okres Liptovský Mikuláš","Liptovský Peter","OVERENÉ REALITY",1,2
"okres Liptovský Mikuláš","Liptovský Peter","REINVEST s.r.o.",1,3
"okres Liptovský Mikuláš","Liptovský Peter","RE/MAX Slovakia",1,4
"okres Liptovský Mikuláš","Liptovský Trnovec","TUreality s.r.o.",4,1
"okres Liptovský Mikuláš","Liptovský Trnovec","Direct Real, spol. s r.o.",2,2
"okres Liptovský Mikuláš","Liptovský Trnovec","REALITY SPOLU",2,3
"okres Liptovský Mikuláš","Liptovský Trnovec","Realitné kancelárie SR",2,4
"okres Liptovský Mikuláš","Liptovský Trnovec","Eden Real estate, s.r.o.",1,5
"okres Liptovský Mikuláš","Liptovský Trnovec","Reality Turiec s.r o.",1,6
"okres Liptovský Mikuláš","Liptovský Trnovec","Reality Alpia",1,7
"okres Liptovský Mikuláš","Liptovský Trnovec","Tatra Invest",1,8
"okres Liptovský Mikuláš","Liptovský Trnovec","HALO reality, s.r.o.",1,9
"okres Liptovský Mikuláš","Liptovský Trnovec","Ing. Jaroslav Minár JAVAS",1,10
"okres Liptovský Mikuláš","Liptovský Trnovec",jabyvam.sk,1,11
"okres Liptovský Mikuláš","Liptovský Trnovec","Nové bývanie",1,12
"okres Liptovský Mikuláš","Liptovský Trnovec","ADOMOS REAL s.r.o.",1,13
"okres Liptovský Mikuláš","Liptovský Trnovec","KRUPPKY, s.r.o.",1,14
"okres Liptovský Mikuláš","Liptovský Trnovec","GERT , s.r.o.",1,15
"okres Liptovský Mikuláš",Ľubeľa,G-REAL,4,1
"okres Liptovský Mikuláš",Ľubeľa,"ARBIZ real estate & finance s. r. o.",2,2
"okres Liptovský Mikuláš",Ľubeľa,"OVERENÉ REALITY",2,3
"okres Liptovský Mikuláš",Ľubeľa,"Realitné kancelárie SR",1,4
"okres Liptovský Mikuláš",Ľubeľa,jabyvam.sk,1,5
"okres Liptovský Mikuláš",Ľubeľa,"New Ways Reality&Financie",1,6
"okres Liptovský Mikuláš",Ľubeľa,"Direct Real, spol. s r.o.",1,7
"okres Liptovský Mikuláš",Ľubeľa,"RE/MAX Slovakia",1,8
"okres Liptovský Mikuláš",Malatíny,"HALO reality, s.r.o.",1,1
"okres Liptovský Mikuláš","Malé Borové","RE/MAX Slovakia",1,1
"okres Liptovský Mikuláš","Malé Borové","REALITY FAIR",1,2
"okres Liptovský Mikuláš",Malužiná,"HALO reality, s.r.o.",1,1
"okres Liptovský Mikuláš","Nižná Boca","Nové bývanie",1,1
"okres Liptovský Mikuláš","Nižná Boca","HALO reality, s.r.o.",1,2
"okres Liptovský Mikuláš","Nižné Fabriky","LICITOR group, a.s.",1,1
"okres Liptovský Mikuláš",Okoličné,jabyvam.sk,2,1
"okres Liptovský Mikuláš",Okoličné,"AstonReal s.r.o.",1,2
"okres Liptovský Mikuláš",Okoličné,"Reality Alpia",1,3
"okres Liptovský Mikuláš",Palúdzka,"RESIDENCE realitná kancelária",7,1
"okres Liptovský Mikuláš",Palúdzka,"STRATEGIC REALITY",2,2
"okres Liptovský Mikuláš",Palúdzka,"ŠIRINY, s.r.o.",2,3
"okres Liptovský Mikuláš",Palúdzka,"OVERENÉ REALITY",1,4
"okres Liptovský Mikuláš",Palúdzka,"Direct Real, spol. s r.o.",1,5
"okres Liptovský Mikuláš",Palúdzka,"Loviu, s.r.o.",1,6
"okres Liptovský Mikuláš",Palúdzka,"AstonReal s.r.o.",1,7
"okres Liptovský Mikuláš",Palúdzka,"REALITY SPOLU",1,8
"okres Liptovský Mikuláš","Partizánska Ľupča","Realitné kancelárie SR",2,1
"okres Liptovský Mikuláš","Partizánska Ľupča","MK-CORP s.r.o.",1,2
"okres Liptovský Mikuláš","Partizánska Ľupča","HALO reality, s.r.o.",1,3
"okres Liptovský Mikuláš","Partizánska Ľupča","A-Byt Consult, s.r.o.",1,4
"okres Liptovský Mikuláš","Partizánska Ľupča","OVERENÉ REALITY",1,5
"okres Liptovský Mikuláš","Partizánska Ľupča","B10 Slovensko, a. s.",1,6
"okres Liptovský Mikuláš","Pavčina Lehota","Direct Real, spol. s r.o.",2,1
"okres Liptovský Mikuláš","Pavčina Lehota","PASS Reality, s.r.o.",1,2
"okres Liptovský Mikuláš","Pavčina Lehota","AstonReal s.r.o.",1,3
"okres Liptovský Mikuláš","Pavčina Lehota","RE/MAX Slovakia",1,4
"okres Liptovský Mikuláš","Pavčina Lehota","RK SPIRIT s.r.o.",1,5
"okres Liptovský Mikuláš","Pavlova Ves","BeMi realitná kancelária",1,1
"okres Liptovský Mikuláš",Ploštín,"KRUPPKY, s.r.o.",1,1
"okres Liptovský Mikuláš",Podbreziny,"AstonReal s.r.o.",4,1
"okres Liptovský Mikuláš",Podbreziny,"Direct Real, spol. s r.o.",3,2
"okres Liptovský Mikuláš",Podbreziny,"HALO reality, s.r.o.",3,3
"okres Liptovský Mikuláš",Podbreziny,"RESIDENCE realitná kancelária",2,4
"okres Liptovský Mikuláš",Podbreziny,"OVERENÉ REALITY",2,5
"okres Liptovský Mikuláš",Podbreziny,"TUreality s.r.o.",1,6
"okres Liptovský Mikuláš",Podbreziny,liptoreal,1,7
"okres Liptovský Mikuláš",Podbreziny,"RK SPIRIT s.r.o.",1,8
"okres Liptovský Mikuláš",Podbreziny,"sunnyreal s.r.o.",1,9
"okres Liptovský Mikuláš",Podbreziny,"BEŇO REALITY",1,10
"okres Liptovský Mikuláš",Podbreziny,"Eden Real estate, s.r.o.",1,11
"okres Liptovský Mikuláš",Podtureň,"TUreality s.r.o.",3,1
"okres Liptovský Mikuláš",Podtureň,"BEŇO REALITY",1,2
"okres Liptovský Mikuláš",Podtureň,"NFA Group, s.r.o.",1,3
"okres Liptovský Mikuláš",Podtureň,"Romantické Chalupy, s.r.o.",1,4
"okres Liptovský Mikuláš",Podtureň,"Direct Real, spol. s r.o.",1,5
"okres Liptovský Mikuláš",Podtureň,"Realitné kancelárie SR",1,6
"okres Liptovský Mikuláš",Podtureň,"Q REAL s.r.o.",1,7
"okres Liptovský Mikuláš",Podtureň,Limaxreal,1,8
"okres Liptovský Mikuláš",Prekážka,"HALO reality, s.r.o.",2,1
"okres Liptovský Mikuláš",Prekážka,"TUreality s.r.o.",2,2
"okres Liptovský Mikuláš",Prekážka,"Reality Alpia",1,3
"okres Liptovský Mikuláš",Pribylina,"Direct Real, spol. s r.o.",2,1
"okres Liptovský Mikuláš",Pribylina,"Reality Alpia",1,2
"okres Liptovský Mikuláš",Pribylina,"NajBývanie, s.r.o.",1,3
"okres Liptovský Mikuláš",Pribylina,"Mgr. Renáta Kolenčíková",1,4
"okres Liptovský Mikuláš",Pribylina,"Realitná kancelária",1,5
"okres Liptovský Mikuláš",Pribylina,"OVERENÉ REALITY",1,6
"okres Liptovský Mikuláš",Pribylina,"Realitná kancelária RED, s.r.o.",1,7
"okres Liptovský Mikuláš",Pribylina,"TUreality s.r.o.",1,8
"okres Liptovský Mikuláš",Pribylina,"RIEŠIME BÝVANIE",1,9
"okres Liptovský Mikuláš",Prosiek,liptoreal,3,1
"okres Liptovský Mikuláš",Prosiek,"RECLOUD Reality a.s.",1,2
"okres Liptovský Mikuláš",Prosiek,"Ing. Jaroslav Minár JAVAS",1,3
