offer_id,property_type,condition,monthly_rent_m2,location_district,location_city,location_area
Juo8y036wNc,"2-room apartment","fully renovated",13.02,"okres Bytča",Bytča,"Veľká Bytča"
JuPeIRhvo6g,"2-room apartment","new construction",12.50,"okres Martin",Martin,Stred
Juq3ES8kVdO,"2-room apartment","fully renovated",8.11,"okres Martin",Martin,Stred
JupL8ZjnO78,"1-room apartment","fully renovated",16.67,"okres Žilina",Žilina,Vlčince
JuzI-cY3VGB,"2-room apartment","partially renovated",10.00,"okres Žilina",Žilina,"Staré mesto"
Jurvisl8PBq,"2-room apartment","new construction",NULL,"okres Martin",Martin,Stred
JuC3qFxZRHA,"2-room apartment","fully renovated",10.95,"okres Martin",Martin,Stred
JuOtmAhAnN-,"3-room apartment","fully renovated",8.63,"okres Žilina",Žilina,"Staré mesto"
JuuGHfugsJe,"2-room apartment","new construction",14.46,"okres Žilina",Terchová,Terchová
JuK1Ou62x1-,"2-room apartment","fully renovated",NULL,"okres Martin",Martin,Stred
JuxOi4dlZ8Z,"2-room apartment","partially renovated",9.48,"okres Martin",Martin,Košúty
JuxSKEPCvI9,"1-room apartment","new construction",10.50,"okres Čadca",Oščadnica,Oščadnica
JumIry3ptkT,"2-room apartment","new construction",7.12,"okres Námestovo",Mútne,Mútne
JuJkIhlhMxu,"3-room apartment","partially renovated",8.42,"okres Čadca",Čadca,Kyčerka
JunnDIKOU8H,"2-room apartment","new construction",10.16,"okres Kysucké Nové Mesto","Kysucké Nové Mesto",Sídlisko
Ju1CJs1XMWM,"2-room apartment","new construction",14.29,"okres Martin",Martin,Stred
Ju52OxQfZ-e,"3-room apartment","fully renovated",8.84,"okres Dolný Kubín","Dolný Kubín",Brezovec
Juug2Jz1Pse,"1-room apartment","fully renovated",13.93,"okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto"
JuR_XmdYxiI,"1-room apartment","new construction",12.79,"okres Martin",Martin,Stred
JuwL1ope4JQ,"2-room apartment","fully renovated",13.57,"okres Žilina",Žilina,Hliny
Jur94HxnWLm,"studio apartment","fully renovated",14.58,"okres Čadca",Čadca,Kyčerka
JugZ1tAn0SZ,"1-room apartment","fully renovated",13.24,"okres Martin",Martin,Jahodníky
Juc_BdIYUe1,"3-room apartment","fully renovated",9.56,"okres Dolný Kubín","Dolný Kubín","Veľký Bysterec"
JuWjsR8x7Sv,"2-room apartment","partially renovated",8.20,"okres Martin",Vrútky,NULL
JulRM1RZW6m,"4-room apartment","new construction",8.82,"okres Žilina",Žilina,"Staré mesto"
JuNnPRzxLFf,"2-room apartment","fully renovated",NULL,"okres Žilina",Žilina,Hliny
Ju4lgcUtMo2,"2-room apartment",unrenovated,8.53,"okres Žilina",Žilina,"Staré mesto"
JuFMzwDkckH,"3-room apartment","fully renovated",8.72,"okres Žilina",Žilina,Vlčince
JuB3Z9PEAiq,"3-room apartment","fully renovated",8.11,"okres Žilina",Žilina,Závodie
JuGX51SpwM8,"3-room apartment",unrenovated,8.13,"okres Dolný Kubín","Dolný Kubín","Veľký Bysterec"
JuEn89TLzyn,"2-room apartment","partially renovated",12.20,"okres Žilina",Žilina,Hliny
JuDVCgxcWoV,"1-room apartment","partially renovated",15.13,"okres Dolný Kubín","Dolný Kubín",Stred
Ju4rzPnW6--,"1-room apartment","new construction",9.55,"okres Žilina",Rajec,Rajec
JuPIcosPUIK,"2-room apartment","fully renovated",12.22,"okres Žilina",Žilina,Hliny
Jua2VQSxknR,"2-room apartment","fully renovated",10.77,"okres Žilina",Žilina,"Staré mesto"
Jute43unDDv,"2-room apartment","fully renovated",10.38,"okres Martin",Martin,Sever
JuNbmfaprZN,"2-room apartment","fully renovated",12.07,"okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto"
JuqfZpnefqB,"3-room apartment","fully renovated",NULL,"okres Žilina",Žilina,"Staré mesto"
JuMDbkTFIEs,"studio apartment",unrenovated,13.04,"okres Martin",Martin,Sever
JuKOSky-gaQ,"2-room apartment","fully renovated",10.31,"okres Bytča",Bytča,"Veľká Bytča"
Jug-3hxWFLu,"3-room apartment","fully renovated",13.21,"okres Žilina",Žilina,Hliny
Jumh9UnxAYr,"2-room apartment","fully renovated",11.86,"okres Žilina",Žilina,Vlčince
JujoQo2VGUJ,"1-room apartment","new construction",13.83,"okres Bytča",Bytča,"Veľká Bytča"
Jur10DDDefn,"2-room apartment","fully renovated",14.58,"okres Bytča",Bytča,"Veľká Bytča"
JulljNn3BQ6,"3-room apartment","fully renovated",8.42,"okres Žilina",Žilina,"Staré mesto"
JuRjoCvdqrS,"3-room apartment","fully renovated",9.53,"okres Martin",Martin,Košúty
JuX28I09sjk,"3-room apartment","fully renovated",8.75,"okres Martin",Martin,Podháj
JuC150gf4x0,"3-room apartment","new construction",10.86,"okres Martin",Martin,Stred
JuOHtDh4ssx,"3-room apartment","fully renovated",9.88,"okres Žilina",Žilina,"Staré mesto"
Ju99QRQeIB6,"1-room apartment","fully renovated",13.44,"okres Liptovský Mikuláš","Liptovský Mikuláš",Okoličné
JuY5LGMMCXw,"commercial space","new construction",NULL,"okres Martin",Sučany,Sučany
Juc13_FCZgH,maisonette,unrenovated,6.00,"okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto"
JupsSzyT0cr,"2-room apartment","fully renovated",8.91,"okres Martin",Vrútky,"Horné Vrútky"
JuDUhZhbscW,"3-room apartment","new construction",12.12,"okres Martin",Martin,Sever
JudTzF1WzhJ,"2-room apartment","partially renovated",12.59,"okres Žilina",Žilina,"Malá Praha"
JuZZDPtR2IXg,"1-room apartment","new construction",11.54,"okres Bytča",Bytča,"Veľká Bytča"
Ju6CbHXXMaR,"2-room apartment","new construction",12.43,"okres Liptovský Mikuláš","Liptovský Mikuláš","Vrbica - Nábrežie"
JuJyLb9uZkF,"2-room apartment","fully renovated",11.90,"okres Martin",Martin,Stred
JubcX2eX1Ec,"2-room apartment","new construction",14.29,"okres Martin",Martin,Stred
Ju43Fk0eYYh,"3-room apartment","fully renovated",9.31,"okres Čadca",Čadca,Žarec
JuN7uIfPm4u,"3-room apartment","new construction",12.59,"okres Žilina",Žilina,Vlčince
JuAChQKUc2K,"3-room apartment","fully renovated",8.14,"okres Martin",Martin,Stred
JuM34gAq3oh,"3-room apartment","new construction",NULL,"okres Čadca",Čadca,Centrum
JuUPtRtKqg1,"holiday apartment",unrenovated,10.37,"okres Tvrdošín",Nižná,Nižná
JuS-j-NozyD,"3-room apartment","new construction",11.18,"okres Žilina",Žilina,Hliny
Ju6448VMXkm,"2-room apartment","fully renovated",9.19,"okres Martin",Vrútky,NULL
JuR_dv_w6nb,"3-room apartment","fully renovated",9.56,"okres Martin",Martin,Záturčie
Ju65g8tl_o6,"2-room apartment","fully renovated",13.09,"okres Bytča",Bytča,"Veľká Bytča"
Jur9DmBKE6k,"3-room apartment","partially renovated",9.08,"okres Čadca",Turzovka,Stred
Juethr02QAh,"3-room apartment","fully renovated",11.45,"okres Dolný Kubín","Dolný Kubín",Mokraď
JuRPpAPhQaY,"3-room apartment","fully renovated",9.76,"okres Žilina",Žilina,"Staré mesto"
JukVWGCXzBK,"3-room apartment","fully renovated",8.49,"okres Žilina",Žilina,"Staré mesto"
JuVL9EcWc2t,"2-room apartment","fully renovated",10.31,"okres Bytča",Bytča,"Veľká Bytča"
JugAp1u_qk1,"studio apartment","fully renovated",20.91,"okres Žilina",Žilina,Vlčince
JuJPy3KQ41X,"2-room apartment","new construction",11.45,"okres Martin",Martin,Priekopa
Ju_bbWxDvZ7,"1-room apartment","fully renovated",11.84,"okres Liptovský Mikuláš","Liptovský Mikuláš",NULL
JuQBqq7Pwpu,"2-room apartment","fully renovated",9.41,"okres Žilina",Žilina,"Staré mesto"
JulaIQCE-Uz,"2-room apartment","new construction",13.53,"okres Liptovský Mikuláš","Liptovský Mikuláš",Palúdzka
JuXClsCim_Y,"3-room apartment","partially renovated",7.65,"okres Žilina",Žilina,"Staré mesto"
JufDkMDnCvm,"3-room apartment","fully renovated",10.13,"okres Žilina",Žilina,Bytčica
JuXB6L99RjI,"2-room apartment","new construction",10.73,"okres Žilina",Žilina,Vlčince
JuvyqEQLT9W,"4-room apartment",unrenovated,7.00,"okres Martin",Martin,Priekopa
Ju5B5pSVvke,"3-room apartment","fully renovated",12.36,"okres Žilina",Žilina,"Staré mesto"
JuKfypJ44Pi,"2-room apartment","fully renovated",8.80,"okres Čadca",Klubina,Klubina
JuQLJpNFPOX,"1-room apartment","partially renovated",12.46,"okres Dolný Kubín","Dolný Kubín","Veľký Bysterec"
JupfL7Qxmcc,"3-room apartment","new construction",7.83,"okres Žilina",Žilina,Hliny
Juk3yNZ7Eva,"2-room apartment","new construction",12.50,"okres Žilina","Rajecké Teplice","Rajecké Teplice"
JuZzvx283W0,"1-room apartment","fully renovated",13.33,"okres Martin",Martin,Stred
JuP5uFTNe1Q,"3-room apartment","new construction",12.07,"okres Žilina",Žilina,Vlčince
JuALKaJfivV,"3-room apartment",unrenovated,8.43,"okres Žilina",Žilina,Hájik
JuviBInVrFn,"1-room apartment","fully renovated",14.86,"okres Martin",Martin,Stred
JuqUuNNcs6x,"2-room apartment","new construction",14.58,"okres Liptovský Mikuláš","Liptovský Mikuláš",Palúdzka
Ju3G8jSFFI9,"2-room apartment","new construction",10.00,"okres Čadca",Čadca,Centrum
Jus3m-rZi5G,"2-room apartment","fully renovated",9.47,"okres Bytča",Bytča,"Veľká Bytča"
Julv6O2K4io,"2-room apartment","partially renovated",9.48,"okres Martin",Martin,Sever
JuxRPO2xwZZ,"2-room apartment","new construction",8.37,"okres Martin",Martin,Stred
Jugu2Y2-InX,"2-room apartment","partially renovated",8.51,"okres Žilina",Žilina,Bôrik
JuFA8PJP0f8,"2-room apartment","fully renovated",9.32,"okres Martin",Martin,Stred
JuziSU1LhLt,"studio apartment","new construction",12.70,"okres Martin",Martin,Podháj
JucVDDFBRT8,"4-room apartment","fully renovated",12.43,"okres Bytča",Bytča,"Veľká Bytča"
JuANNBb14Ku,"1-room apartment","partially renovated",12.79,"okres Dolný Kubín",Istebné,Istebné
JuIFK1fc6FD,"3-room apartment","partially renovated",7.52,"okres Martin",Martin,Sever
Jueq_fze_5r,"2-room apartment","new construction",NULL,"okres Liptovský Mikuláš","Liptovský Mikuláš",Palúdzka
Ju3RCMQs9vo,"2-room apartment","new construction",10.00,"okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto"
JuSCw29I996,"3-room apartment","fully renovated",8.39,"okres Liptovský Mikuláš","Liptovský Hrádok",Prekážka
JuYmnqxfCfU,"2-room apartment","fully renovated",10.97,"okres Bytča",Bytča,"Veľká Bytča"
Ju2RLrI1kcS,"2-room apartment","new construction",8.45,"okres Žilina",Žilina,Vlčince
JuLfK4N9KuJ,"4-room apartment","fully renovated",9.44,"okres Žilina",Žilina,"Staré mesto"
JuXFWi9ToVv,"1-room apartment","fully renovated",10.23,"okres Námestovo",Námestovo,NULL
JuIAvskne5z,"2-room apartment","fully renovated",8.33,"okres Liptovský Mikuláš","Liptovský Mikuláš","Vrbica - Nábrežie"
JumrPKthwP7,"2-room apartment","new construction",NULL,"okres Bytča",Maršová-Rašov,Maršová-Rašov
JuewRpsuNGh,"1-room apartment","fully renovated",NULL,"okres Martin",Martin,Podháj
JuOCwlB4zqX,"2-room apartment","new construction",8.96,"okres Martin",Martin,Podháj
Ju6c9z03WhY,"2-room apartment","fully renovated",10.37,"okres Martin",Martin,Stred
JueYWDVVrdd,"2-room apartment","new construction",6.00,"okres Námestovo",Mútne,Mútne
Ju9hEcnte9-,"3-room apartment","partially renovated",6.30,"okres Námestovo",Námestovo,Brehy
Ju12bwYQ7nT,"3-room apartment","new construction",8.41,"okres Martin",Martin,Záturčie
JutR_NlarhR,"2-room apartment","new construction",10.14,"okres Žilina",Žilina,Bôrik
JuSGqC8nbbl,"3-room apartment","fully renovated",13.17,"okres Žilina",Žilina,Hliny
Ju6fwBTV6P6,"2-room apartment",unrenovated,14.37,"okres Žilina",Žilina,Bôrik
JupFlDUtQOE,"2-room apartment","new construction",14.13,"okres Žilina",Žilina,"Staré mesto"
JuYypAB3WNO,"studio apartment","new construction",18.28,"okres Žilina",Žilina,Vlčince
JuwiNiRwZ-G,"3-room apartment","fully renovated",10.97,"okres Bytča",Bytča,"Veľká Bytča"
JuOFc-qmQAu,"2-room apartment","new construction",10.45,"okres Liptovský Mikuláš","Liptovský Mikuláš",Palúdzka
JuTcLcPMeUX,"2-room apartment","new construction",11.50,"okres Martin",Vrútky,"Horné Vrútky"
Ju3fRh58rlQ,"2-room apartment","partially renovated",11.22,"okres Liptovský Mikuláš","Liptovský Mikuláš","Vrbica - Nábrežie"
Jujum4J4wb2,"2-room apartment","fully renovated",8.33,"okres Martin",Martin,Ľadoveň
JuEI53pWqzW,"3-room apartment","new construction",9.44,"okres Martin",Martin,Stred
JusqNW2Fg5o,"1-room apartment","fully renovated",18.52,"okres Liptovský Mikuláš","Pavčina Lehota","Pavčina Lehota"
JuOxbo4pSSp,"3-room apartment","fully renovated",13.33,"okres Žilina",Žilina,Vlčince
Ju9t-oEiYBZ,"3-room apartment","new construction",8.10,"okres Liptovský Mikuláš","Liptovský Hrádok",NULL
JueYB6GvrEe,"3-room apartment","fully renovated",10.42,"okres Žilina",Žilina,Hliny
JuG0JmIY6PQ,"2-room apartment","fully renovated",8.82,"okres Žilina",Žilina,Vlčince
JuOLK-0T1Mn,"2-room apartment","fully renovated",17.50,"okres Žilina",Žilina,"Staré mesto"
Ju5-9cSZw35,"3-room apartment","new construction",8.82,"okres Martin",Martin,Stred
JuykAcnsUj0,"3-room apartment","new construction",9.76,"okres Žilina",Žilina,"Staré mesto"
JuoaEOkD_KF,"3-room apartment","new construction",9.67,"okres Žilina",Žilina,"Staré mesto"
Ju-CieQQxUN,"2-room apartment","new construction",13.65,"okres Liptovský Mikuláš","Liptovský Mikuláš",Palúdzka
JutjYOCC9EK,"2-room apartment","new construction",13.75,"okres Žilina",Žilina,"Staré mesto"
JuawIhGVyvh,"3-room apartment","fully renovated",6.96,"okres Námestovo",Námestovo,Stred
JuMq5sG1YBG,"2-room apartment","fully renovated",9.64,"okres Martin",Martin,Košúty
JuzW5XpNDH7,"holiday apartment","new construction",NULL,"okres Liptovský Mikuláš","Liptovský Mikuláš",Demänová
Ju0bNiistMRJ,"1-room apartment","new construction",16.67,"okres Bytča",Bytča,"Thurzove sady"
JujO1vhWS9Y,"3-room apartment","new construction",12.46,"okres Martin",Martin,Sever
Ju28v4oyz1R,"1-room apartment","new construction",8.64,"okres Kysucké Nové Mesto",Nesluša,Nesluša
JuH32c8NNad,"2-room apartment","new construction",12.22,"okres Martin",Martin,Priekopa
JuB4nMTbdT2,"3-room apartment",unrenovated,6.02,"okres Námestovo",Vavrečka,Vavrečka
JuktwYpm4CV,"2-room apartment","partially renovated",10.20,"okres Martin",Martin,Záturčie
JujjF4h9vha,"2-room apartment","fully renovated",10.42,"okres Martin",Martin,Stred
JuRdV1LIJPu,"1-room apartment","fully renovated",13.24,"okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto"
JuT8T2mhbPp,"2-room apartment","new construction",12.13,"okres Martin",Martin,Stred
Juvh354emFK,"3-room apartment","fully renovated",9.88,"okres Žilina",Žilina,"Staré mesto"
JuwR10kFsHB,"2-room apartment","fully renovated",10.00,"okres Žilina",Žilina,Vlčince
JuarCLPx8dZ,"2-room apartment","fully renovated",13.60,"okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto"
JuG8ggFzvSj,"3-room apartment","partially renovated",6.50,"okres Žilina",Žilina,"Staré mesto"
JuxasD7Z9Ys,"2-room apartment","fully renovated",10.91,"okres Martin",Martin,Stred
JuU-rP3IJ1-,"2-room apartment","new construction",12.50,"okres Žilina",Žilina,"Staré mesto"
JuXBGzjsqRS,"3-room apartment","new construction",11.43,"okres Bytča",Bytča,"Thurzove sady"
JuDHzNZw0-F,"3-room apartment","fully renovated",7.51,"okres Martin",Martin,Priekopa
Jugh-H3CM-c,"2-room apartment","new construction",6.86,"okres Námestovo",Mútne,Mútne
Ju3IaCCie7D,"4-room apartment","partially renovated",8.67,"okres Martin",Martin,Ľadoveň
Jula1jRu3yY,house,"partially renovated",8.33,"okres Žilina","Dolný Hričov","Dolný Hričov"
Ju2mmFeZCca,house,"fully renovated",12.94,"okres Žilina",Žilina,Hliny
Ju9aPEa8o9x,house,unrenovated,2.02,"okres Liptovský Mikuláš","Liptovská Sielnica","Liptovská Sielnica"
Ju419iKir6V,house,"new construction",5.00,"okres Liptovský Mikuláš","Liptovský Mikuláš","Liptovská Ondrašová"
JuEW0eTR9MG,house,"partially renovated",5.15,"okres Žilina",Žilina,"Staré mesto"
JuIbHiaSfl0,house,"new construction",10.27,"okres Bytča",Bytča,"Veľká Bytča"
JuuVW7D3CC4,house,"new construction",4.44,"okres Liptovský Mikuláš","Liptovský Mikuláš","Liptovská Ondrašová"
Ju002dUmryq,house,"fully renovated",11.11,"okres Žilina",Žilina,"Staré mesto"
JuIfd2KOAqJ,house,"new construction",6.15,"okres Žilina","Dolný Hričov","Dolný Hričov"
JuiNBbsX-1P,house,"new construction",8.00,"okres Žilina",Žilina,Bytčica
JuQab_JUcgQ,house,"new construction",7.96,"okres Martin",Vrútky,"Karvaša a Bláhovca"
JuRRi65QQer,house,unrenovated,3.13,"okres Čadca",Čierne,Čierne
Ju99F1V9-a5,house,"new construction",12.90,"okres Martin",Vrútky,"Karvaša a Bláhovca"
Ju1ofqUKnGJ,house,"new construction",9.17,"okres Bytča",Bytča,"Veľká Bytča"
Ju6T3Ft89-v,house,"new construction",2.99,"okres Martin",Martin,Záturčie
JuLfF3NK-DH,house,"fully renovated",13.94,"okres Žilina",Žilina,Trnové
JuLNoFvHJ5G,house,"new construction",9.37,"okres Liptovský Mikuláš","Liptovský Mikuláš",NULL
JuH3sZu4pdG,house,"new construction",5.90,"okres Martin",Martin,"Kolónia Hviezda"
Ju3lxuv_5ktW,house,"new construction",10.00,"okres Čadca",Čadca,Podzávoz
JujgHpJn1F3,house,"partially renovated",3.90,"okres Liptovský Mikuláš",Važec,Važec
JuZCH4Z4GtW,house,"fully renovated",0.10,"okres Martin",Vrútky,"Dolné Vrútky"
JuoVr-cpqoy,house,"fully renovated",6.94,"okres Ružomberok",Lúčky,Lúčky
Ju87PUjUkTd,house,"new construction",10.67,"okres Žilina","Nezbudská Lúčka","Nezbudská Lúčka"
Juesp2zf3lY,house,"new construction",8.75,"okres Čadca",Čadca,Podzávoz
JumYwG9N16J,house,"new construction",6.04,"okres Žilina","Dolný Hričov","Dolný Hričov"
JueXjluFXOP,house,"fully renovated",14.24,"okres Žilina",Višňové,Višňové
Ju9bxb0AsZ-,house,"partially renovated",0.03,"okres Žilina",Žilina,Bôrik
JuHIlnFxXM_,house,"new construction",12.50,"okres Žilina",Žilina,Bôrik
JuA5lCAmCxy,house,"fully renovated",10.71,"okres Žilina","Teplička nad Váhom","Teplička nad Váhom"
JuFISMLdmc8,house,"new construction",10.78,"okres Martin",Sučany,Sučany
JudaUInUE_Q,house,"new construction",3.76,"okres Námestovo","Oravská Polhora","Oravská Polhora"
JuSpQ8TslIA,house,"new construction",0.99,"okres Žilina",Lysica,Lysica
Ju7u3ZsxEKq,house,"fully renovated",5.20,"okres Žilina",Žilina,Závodie
JuUZocInHXW,house,"new construction",8.67,"okres Námestovo",Námestovo,Stred
