offer_id,property_type,terrain,location_district,location_city,location_area
JuptIY7K5YK,house,"gently sloped","okres Čadca",Turzovka,Predmier
JuMof2f50da,house,flat,"okres Žilina",Žilina,"Považský Chlmec"
JuZgBXj7DfA,house,flat,"okres Liptovský Mikuláš",Bobrovec,Bobrovec
Ju5BwjQ6s7y,house,"mostly flat","okres Čadca",Čierne,Čierne
JuQab_JUcgQ,house,flat,"okres Martin",Vrútky,"Karvaša a Bláhovca"
JuEB6osELcj,house,NULL,"okres Turčianske Teplice",Sklené,Sklené
Ju34HqZzlYZ,house,"mostly flat","okres Žilina",Terchová,Terchová
Ju_JIspGy8j,house,flat,"okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto"
JuwY9aBM81x,house,NULL,"okres Martin",Vrútky,"Dolné Vrútky"
Ju6FkAOvz_r,house,flat,"okres Liptovský Mikuláš","Liptovský Mikuláš",Okoličné
Ju8bN6JmGCo,house,flat,"okres Martin",Martin,Ľadoveň
JuF5wwqoPt-,house,NULL,"okres Ružomberok","Liptovská Osada","Liptovská Osada"
JuRB3GLBQlr,house,flat,"okres Žilina",Rajec,Rajec
JulDvECm5wW,house,flat,"okres Žilina",Žilina,"Považský Chlmec"
JutdauUbuYB,house,flat,"okres Žilina",Mojš,Mojš
JuKt4j2XFxX,house,flat,"okres Liptovský Mikuláš",Dúbrava,Dúbrava
JuTM2PfA7TL,house,"gently sloped","okres Žilina",Bitarová,Bitarová
JuHuCArgKgQ,house,other,"okres Námestovo",Zubrohlava,Zubrohlava
Jucbi7PZEnm,house,NULL,"okres Čadca",Klokočov,Klokočov
JuM1C8fcu8K,house,"gently sloped","okres Ružomberok",Ružomberok,NULL
Ju-vY43kOSm,house,flat,"okres Čadca",Klokočov,Klokočov
Ju6dKyzXet6,house,flat,"okres Žilina",Žilina,Strážov
Ju6vI9Ongqb,house,"gently sloped","okres Čadca",Klokočov,Klokočov
JuSGs9I7N10c,house,NULL,"okres Turčianske Teplice",Čremošné,Čremošné
JuQQeemtPlQ,house,NULL,"okres Liptovský Mikuláš","Liptovský Trnovec","Liptovský Trnovec"
Juc14yxwCWy,house,flat,"okres Liptovský Mikuláš",Ľubeľa,Ľubeľa
JuA6unfH09z,house,NULL,"okres Martin",Martin,Stráne
JuoL9EBWGdw,house,flat,"okres Žilina",Podhorie,Podhorie
JuTsKQYVo81,house,NULL,"okres Liptovský Mikuláš","Liptovský Mikuláš",Bodice
JuvJClErKby,house,flat,"okres Kysucké Nové Mesto",Rudina,Rudina
JuImgMwAlae,house,other,"okres Žilina",Bitarová,Bitarová
JuJRg0E5VNn,house,flat,"okres Martin",Valča,Valča
Ju_7upNwBrj,house,"gently sloped","okres Dolný Kubín",Malatiná,Malatiná
JueQzTcIDeQ,house,"gently sloped","okres Ružomberok",Ružomberok,Baničné
JuWFwDq9Hos,house,flat,"okres Ružomberok",Likavka,Likavka
Juw-gEYpFG_,house,"gently sloped","okres Čadca",Čadca,Milošová
Ju3_GjYaBPA,house,flat,"okres Čadca",Čadca,Centrum
JufgKb9FR3J,house,NULL,"okres Ružomberok",Ludrová,Ludrová
JunNJzhFnyu,house,NULL,"okres Čadca",Čierne,Čierne
Juk_6IbuVg4,house,other,"okres Kysucké Nové Mesto",Nesluša,Nesluša
Juhv-0ib6ND,house,sloped,"okres Bytča","Hlboké nad Váhom","Hlboké nad Váhom"
JuFy8odNEYG,house,"gently sloped","okres Ružomberok",Ludrová,Ludrová
Ju5HL9HCWYK,house,flat,"okres Liptovský Mikuláš",Podtureň,Podtureň
JuTAR5A7Hvk,house,flat,"okres Bytča",Bytča,"Hliník nad Váhom"
Juk8YxA4P9Q,house,flat,"okres Tvrdošín",Zábiedovo,Zábiedovo
JuH7gFUPY7f,house,flat,"okres Žilina",Gbeľany,Gbeľany
JuHEeYDAKYc,house,flat,"okres Čadca",Zákopčie,Zákopčie
Ju818YWB7Et,house,NULL,"okres Martin",Valča,Valča
JuvprX5EDq1,house,"mostly flat","okres Ružomberok",Likavka,Likavka
Ju769ToQ74D,house,"gently sloped","okres Žilina",Žilina,"Žilinská Lehota"
Ju_VPyRRw8c,house,NULL,"okres Čadca",Klokočov,Klokočov
Juady9vqBv8,house,NULL,"okres Čadca",Klokočov,Klokočov
Juj0QibLMWk,house,flat,"okres Čadca","Krásno nad Kysucou",Stred
Jua9bDzVCPy,house,flat,"okres Ružomberok",Lisková,Lisková
JuVWSdPVacq,house,"gently sloped","okres Liptovský Mikuláš",Ľubeľa,Ľubeľa
JuoeXyKL-xw,house,flat,"okres Martin",Martin,"Kolónia Hviezda"
JuU-CdEC7dE,house,flat,"okres Čadca",Svrčinovec,Svrčinovec
JuyjJhU57Ie,house,flat,"okres Martin",Dražkovce,Dražkovce
JuUOF1Y8GRc,house,flat,"okres Ružomberok",Martinček,Martinček
JuTtMGChCvj,house,flat,"okres Ružomberok",Ivachnová,Ivachnová
Ju85rN2RkNp,house,"gently sloped","okres Žilina",Žilina,Bôrik
JuGV2Mc53Dd,house,NULL,"okres Námestovo",Ťapešovo,Ťapešovo
Ju_8_vlnZwY,house,other,"okres Ružomberok",Ružomberok,"Biely Potok"
JulClHeflP9,house,flat,"okres Žilina","Lietavská Lúčka","Lietavská Lúčka"
JuAUegGsDW_,house,NULL,"okres Turčianske Teplice",Turček,Turček
JuD5IEP-_uU,house,flat,"okres Žilina","Lietavská Svinná-Babkov","Lietavská Svinná-Babkov"
Juh02qpId7f,house,NULL,"okres Čadca",Čadca,Rieka
JudW0vCLa-q,house,"gently sloped","okres Žilina",Žilina,Budatín
JuZSCNK7v3l,house,flat,"okres Žilina",Žilina,"Staré mesto"
JuNXUaLV7F5,house,NULL,"okres Čadca",Čadca,Kyzkovci
Jubpxb0JsTj,house,"gently sloped","okres Čadca",Klokočov,Klokočov
Ju4kDIYSKlj,house,NULL,"okres Martin",Žabokreky,Žabokreky
JuY6OUpbXjU,house,"mostly flat","okres Žilina",Mojš,Mojš
Jug6zZpbgms,house,flat,"okres Žilina",Terchová,Terchová
JuP0XzI2a8X,house,"gently sloped","okres Námestovo",Lomná,Lomná
JuQ_I0ff1WB,house,flat,"okres Bytča",Kotešová,Kotešová
JuxsRe4hFI1,house,flat,"okres Martin","Košťany nad Turcom","Košťany nad Turcom"
JuNAkKLTuvU,house,sloped,"okres Žilina",Brezany,Brezany
JurPQrgAzVa,house,NULL,"okres Žilina",Varín,Varín
JuO0hdGmTXM,house,flat,"okres Martin","Kláštor pod Znievom","Kláštor pod Znievom"
Ju99F1V9-a5,house,"gently sloped","okres Martin",Vrútky,"Karvaša a Bláhovca"
Jud-pgAdAnR,house,NULL,"okres Žilina",Žilina,Závodie
JunMD2_PHX1,house,"gently sloped","okres Žilina",Žilina,Budatín
Jut9hBMvkj1,house,"mostly flat","okres Žilina",Hôrky,Hôrky
JuMIjDzPJlV,house,sloped,"okres Žilina","Dolná Tižina","Dolná Tižina"
Ju08TjjVb3y,house,flat,"okres Žilina",Mojš,Mojš
Juove7AkwvT,house,flat,"okres Martin",Valča,Valča
JuqQL7cMBce,house,flat,"okres Žilina",Žilina,Bôrik
JuyE1SKm9MG,house,"gently sloped","okres Dolný Kubín","Dolný Kubín","Veľký Bysterec"
JuAUIyCgthV,house,"gently sloped","okres Turčianske Teplice",Dubové,Dubové
JulOKuOiom0,house,flat,"okres Martin",Martin,Stráne
JuV6m-uCHri,house,flat,"okres Ružomberok",Komjatná,Komjatná
JuBFSGXIbQg,house,flat,"okres Martin",Martin,Stred
JuSEx_tCHgm,house,flat,"okres Martin",Sučany,Sučany
Ju8D90dPeWn,house,flat,"okres Čadca","Stará Bystrica","Stará Bystrica"
JuSIu9gfLrM,house,flat,"okres Martin",Turany,Turany
Jubw55XES_L,house,"mostly flat","okres Žilina",Rajec,Rajec
Ju4qLAERlSe,house,NULL,"okres Turčianske Teplice",Sklené,Sklené
JuQLhnk0fIJ,house,NULL,"okres Námestovo",Bobrov,Bobrov
JuTHsp0WSDj,house,terraced,"okres Čadca",Čierne,Čierne
Juq9xnQNQkn,house,"mostly flat","okres Ružomberok","Liptovské Sliače","Liptovské Sliače"
Ju201YVcPl9,house,flat,"okres Martin",Martin,Priekopa
JuEkXTiy4W0,house,flat,"okres Čadca",Turzovka,Predmier
JuRCZxG-Ooz,house,NULL,"okres Turčianske Teplice",Brieštie,Brieštie
Ju2g9qDY7C2,house,NULL,"okres Žilina","Lietavská Lúčka","Lietavská Lúčka"
JuiurmGxqdw,house,flat,"okres Liptovský Mikuláš",Galovany,Galovany
JubPnkGYuzd,house,NULL,"okres Žilina","Lietavská Svinná-Babkov","Lietavská Svinná-Babkov"
JutUghljOFb,house,NULL,"okres Martin","Košťany nad Turcom","Košťany nad Turcom"
JuOcMarFG9f,house,flat,"okres Martin",Martin,Priekopa
JueL_62vkzy,house,"gently sloped","okres Bytča",Petrovice,Petrovice
Ju83GL9bzob,house,flat,"okres Liptovský Mikuláš",Pribylina,Pribylina
JuOWTKqdph-,house,NULL,"okres Žilina",Brezany,Brezany
JuJ_aSROqsa,house,"mostly flat","okres Bytča",Maršová-Rašov,Maršová-Rašov
JuZb8UCK_rZ,house,NULL,"okres Čadca",Svrčinovec,Svrčinovec
JuTlV6vu9KV,house,"gently sloped","okres Čadca",Turzovka,Hlinené
JuHMOf4_aEt,house,NULL,"okres Martin",Martin,Podháj
JuExQtw6qVs,house,sloped,"okres Žilina",Bitarová,Bitarová
JuWdOUuOqTq,house,"gently sloped","okres Bytča","Veľké Rovné","Veľké Rovné"
JuCQquJMobX,house,flat,"okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto"
JuCZFv2-6ou,house,flat,"okres Martin",Sučany,Sučany
JuZeXFkM1A9,house,NULL,"okres Čadca","Dlhá nad Kysucou","Dlhá nad Kysucou"
JuiNO66g3Yc,house,"gently sloped","okres Liptovský Mikuláš","Liptovský Trnovec","Liptovský Trnovec"
Ju3B-41JURa,house,flat,"okres Žilina",Bitarová,Bitarová
JuVYoseZcjb,house,sloped,"okres Čadca","Vysoká nad Kysucou","Vysoká nad Kysucou"
Juqo9ur2oSk,house,flat,"okres Čadca",Raková,Raková
JuUtFPHm2FJ,house,NULL,"okres Čadca",Skalité,Skalité
JuRXV1iFSPA,house,flat,"okres Liptovský Mikuláš","Partizánska Ľupča","Partizánska Ľupča"
JuvFd0GqZEL,house,NULL,"okres Čadca",Zákopčie,Zákopčie
JuYLfbh2sq3,house,flat,"okres Ružomberok","Liptovská Osada","Liptovská Osada"
JurXt03mBLY,house,flat,"okres Žilina",Bitarová,Bitarová
Ju6T3Ft89-v,house,NULL,"okres Martin",Martin,Záturčie
JupleqZX_5c,house,NULL,"okres Liptovský Mikuláš",Važec,Važec
JuFiX3Sq3vG,house,NULL,"okres Liptovský Mikuláš",Važec,Važec
JugTUA5gS8g,house,flat,"okres Čadca",Čadca,Milošová
Ju-2ATFv9rv,house,other,"okres Žilina",Žilina,Trnové
Ju-DaLUFFrZO,house,"gently sloped","okres Čadca",Zákopčie,Zákopčie
JulhD_NcT3W,house,flat,"okres Čadca",Čadca,"U Hluška"
JuR8MtfJ_hy,house,flat,"okres Ružomberok",Bešeňová,Bešeňová
JuTYVNH1hyq,house,"mostly flat","okres Žilina",Žilina,Závodie
JueXmDjP7zd,house,NULL,"okres Žilina",Žilina,Budatín
JuHhaEPAecH,house,"gently sloped","okres Žilina",Žilina,Budatín
JuUd1zO7Wmq,house,flat,"okres Liptovský Mikuláš",Východná,Východná
Ju65DXWDqfO,house,"gently sloped","okres Žilina","Malá Čierna","Malá Čierna"
JuUTEYZS5iH,house,flat,"okres Martin","Turčianske Kľačany","Turčianske Kľačany"
JulIOnbqCxs,house,terraced,"okres Liptovský Mikuláš","Partizánska Ľupča","Partizánska Ľupča"
JunoisVSjsE,house,flat,"okres Liptovský Mikuláš",Dúbrava,Dúbrava
JuX0rjtWptr,house,NULL,"okres Ružomberok","Liptovská Lúžna","Liptovská Lúžna"
Ju0jlVjeum2,house,flat,"okres Kysucké Nové Mesto",Radoľa,Radoľa
Ju-n3HBlCLs,house,flat,"okres Liptovský Mikuláš","Liptovský Trnovec","Liptovský Trnovec"
JumqzlfG1o5,house,flat,"okres Ružomberok",Lisková,Lisková
JuUVlQMhocg,house,flat,"okres Turčianske Teplice","Malý Čepčín","Malý Čepčín"
JuIvAW7ErKL,house,flat,"okres Liptovský Mikuláš","Liptovský Mikuláš","Vrbica - Nábrežie"
Juomcnw1rQn,house,NULL,"okres Liptovský Mikuláš",Vavrišovo,Vavrišovo
JuHZ1_tqsoJ,house,flat,"okres Turčianske Teplice",Háj,Háj
JuRsx7ULgvE,house,NULL,"okres Liptovský Mikuláš",Ižipovce,Ižipovce
Juu-17oAoC1,house,flat,"okres Žilina",Žilina,"Považský Chlmec"
JuHTrpBIwLH,house,flat,"okres Čadca","Zborov nad Bystricou","Zborov nad Bystricou"
JugRw5WlFvo,house,"gently sloped","okres Martin","Košťany nad Turcom","Košťany nad Turcom"
JufGT_MaCUz,house,NULL,"okres Kysucké Nové Mesto",Rudinská,Rudinská
Juoz04a647Q,house,flat,"okres Žilina",Žilina,Budatín
Ju1Kl-Z5Rmy,house,"gently sloped","okres Čadca",Svrčinovec,Svrčinovec
JuyNnLnMYyC,house,flat,"okres Čadca",Oščadnica,Oščadnica
JuF46fUq-Yw,house,flat,"okres Martin",Blatnica,Blatnica
JuKQcfqPzaF,house,"gently sloped","okres Ružomberok",Ľubochňa,Ľubochňa
JuytovsywXn,house,NULL,"okres Žilina",Bitarová,Bitarová
JucRk_dUu__,house,NULL,"okres Liptovský Mikuláš",Ižipovce,Ižipovce
JuWBhReJsOQ,house,other,"okres Ružomberok",Ružomberok,"Staré mesto"
JupxniZ3HTo,house,flat,"okres Turčianske Teplice",Brieštie,Brieštie
JuX6zPqRWEF,house,flat,"okres Martin",Vrútky,"Dolné Vrútky"
JuMM6zZvZxw,house,flat,"okres Bytča",Bytča,"Hliník nad Váhom"
JuBhi6vWwWF,house,NULL,"okres Ružomberok",Hubová,Hubová
JusY0XVc742,house,sloped,"okres Žilina",Varín,Varín
Ju0x3Q-Isx2,house,flat,"okres Martin",Martin,Jahodníky
JusBzzX4MYn,house,NULL,"okres Martin",Martin,Stráne
JuyGuuau4bp,house,NULL,"okres Čadca",Skalité,Skalité
JuZg89p6Hy7,house,flat,"okres Žilina",Terchová,Terchová
Ju90ROUj5tm,house,flat,"okres Liptovský Mikuláš",Ľubeľa,Ľubeľa
JufpZ_mPYDs,house,sloped,"okres Ružomberok",Ľubochňa,Ľubochňa
JuGmzsgn_AA,house,flat,"okres Kysucké Nové Mesto","Kysucké Nové Mesto",Oškerda
JuZvI3pSm0g,house,flat,"okres Žilina","Lietavská Svinná-Babkov","Lietavská Svinná-Babkov"
Ju4QNdSEtTJo,house,NULL,"okres Bytča",Bytča,"Bytča - sever"
JuTyI-EzXJs,house,flat,"okres Žilina",Žilina,"Staré mesto"
JuRjgYMudUi,house,flat,"okres Bytča",Kotešová,Kotešová
JuQMRIcKumi,house,flat,"okres Liptovský Mikuláš",Ľubeľa,Ľubeľa
JuemrlNxbW5,house,flat,"okres Ružomberok",Ružomberok,Polík
Ju73dWwYIf4,house,NULL,"okres Ružomberok","Liptovské Sliače","Liptovské Sliače"
JuL77Ktof8v,house,other,"okres Ružomberok","Liptovská Štiavnica","Liptovská Štiavnica"
Ju11dVJkRkl,house,flat,"okres Žilina",Žilina,Závodie
Ju6OXC5e_2f,house,"gently sloped","okres Liptovský Mikuláš",Jakubovany,Jakubovany
JufFtzCmoZI,house,other,"okres Žilina",Rosina,Rosina
Ju_rwk44XIO,house,other,"okres Žilina",Žilina,Závodie
JuaEOE3NvBE,house,flat,"okres Martin",Rakovo,Rakovo
Juidd703LOU,house,sloped,"okres Žilina",Lysica,Lysica
Ju-OE670leB,house,flat,"okres Bytča",Predmier,Predmier
JukIEPbTzbs,house,flat,"okres Žilina",Hôrky,Hôrky
Ju9pzA6kp29,house,flat,"okres Čadca",Makov,Makov
Juk1Q-owy0o,house,flat,"okres Liptovský Mikuláš","Liptovský Mikuláš",Okoličné
Ju9iqAyYgBP,house,flat,"okres Martin",Martin,Priekopa
JuRU-kTFsF-J,house,NULL,"okres Turčianske Teplice","Horná Štubňa","Horná Štubňa"
JuO6fvSVJ1V,house,"gently sloped","okres Čadca",Klokočov,Klokočov
JuGR3fH9qik,house,sloped,"okres Žilina",Bitarová,Bitarová
Juo44m6iiNj,house,flat,"okres Žilina",Žilina,"Staré mesto"
JuTTJWsaBgO,house,"mostly flat","okres Čadca","Zborov nad Bystricou","Zborov nad Bystricou"
Ju56OOXxa00,house,sloped,"okres Dolný Kubín",Párnica,Párnica
JusG-CBmKRn,house,"gently sloped","okres Liptovský Mikuláš",Trstené,Trstené
JuWpJ-Sbi1l,house,flat,"okres Čadca",Turzovka,Stred
Ju9ruJn5dvg,house,NULL,"okres Martin",Slovany,Slovany
Ju2peJN838G,house,sloped,"okres Žilina",Svederník,Svederník
Juc0OLvyRFq,house,flat,"okres Bytča",Bytča,"Hliník nad Váhom"
JuG7o38qa_3q,house,flat,"okres Martin","Turčiansky Peter","Turčiansky Peter"
JumEIr24W_g,house,flat,"okres Turčianske Teplice","Slovenské Pravno","Slovenské Pravno"
Juq9Pjjnp8z,house,flat,"okres Ružomberok","Liptovská Štiavnica","Liptovská Štiavnica"
JuYcAohEk_m,house,flat,"okres Čadca",Svrčinovec,Svrčinovec
JuT5ppNKCia,house,NULL,"okres Čadca",Raková,Raková
Ju-75DBwgfk,house,flat,"okres Martin",Sučany,Sučany
JureCrsruRg,house,flat,"okres Liptovský Mikuláš","Liptovský Hrádok",Prekážka
JutHib1B1xR,house,NULL,"okres Kysucké Nové Mesto","Kysucký Lieskovec","Kysucký Lieskovec"
Juw8ClGcgML,house,flat,"okres Ružomberok",Stankovany,Stankovany
Juue_okjXNw,house,NULL,"okres Bytča",Bytča,"Bytča - sever"
JugpipVmZe_,house,sloped,"okres Kysucké Nové Mesto","Kysucké Nové Mesto","Budatínska Lehota"
JujzuFjr_sw,house,"gently sloped","okres Liptovský Mikuláš","Svätý Kríž","Svätý Kríž"
JuXTh3yHj3W,house,flat,"okres Martin","Košťany nad Turcom","Košťany nad Turcom"
JuucJQK8h5P,house,flat,"okres Liptovský Mikuláš","Nižná Boca","Nižná Boca"
JupsrE6Y27i,house,"gently sloped","okres Martin",Martin,Stráne
Juf1-SHsN6y,house,NULL,"okres Ružomberok",Ružomberok,"Staré mesto"
Juxato9q4rN,house,"mostly flat","okres Žilina",Kľače,Kľače
JuDQ5AS8LzC,house,NULL,"okres Liptovský Mikuláš","Liptovský Ondrej","Liptovský Ondrej"
JuWdcFlgLA9,house,"mostly flat","okres Žilina",Turie,Turie
JuQ3jpCSPOt,house,flat,"okres Ružomberok",Ludrová,Ludrová
Juyxeic3AFZ,house,NULL,"okres Čadca",Turzovka,Hlinené
Ju5nlLB7ljN,house,"mostly flat","okres Žilina",Žilina,Bytčica
JudSeGPXKHG,house,flat,"okres Čadca","Vysoká nad Kysucou","Vysoká nad Kysucou"
JuU3IYp6uhY,house,flat,"okres Martin",Vrútky,"Dolné Vrútky"
Ju8g_PgmzSw,house,"gently sloped","okres Čadca",Svrčinovec,Svrčinovec
JuWoB6KY-Fv,house,NULL,"okres Žilina","Teplička nad Váhom","Teplička nad Váhom"
Jujja8Oem9Ja,house,other,"okres Námestovo",Zubrohlava,Zubrohlava
JutFPWQnH3V,house,flat,"okres Liptovský Mikuláš",Bobrovec,Bobrovec
JuTPpgXbJM9,house,"gently sloped","okres Žilina",Višňové,Višňové
Ju_GJzZVy3l,house,"gently sloped","okres Čadca",Čadca,Husárikovci
Ju2MLh38AzW,house,flat,"okres Liptovský Mikuláš","Liptovský Mikuláš","Vrbica - Nábrežie"
JujrHGAONfL,house,NULL,"okres Martin",Martin,Sever
JuiBk9pN0nv,house,NULL,"okres Čadca",Čadca,Milošová
JuqlrZXWQYv,house,"gently sloped","okres Čadca",Podvysoká,Podvysoká
JuLD_F55WFh,house,"mostly flat","okres Čadca",Raková,Raková
JuQ_edW4pqG,house,"gently sloped","okres Žilina",Rajec,Rajec
JuFh6vU7_2A,house,flat,"okres Žilina","Teplička nad Váhom","Teplička nad Váhom"
Juhkwp9VTaS,house,NULL,"okres Žilina",Stránske,Stránske
JuH3sZu4pdG,house,flat,"okres Martin",Martin,"Kolónia Hviezda"
JuBfL7XLVQ9,house,flat,"okres Turčianske Teplice",Rudno,Rudno
JuKrQbUiYIO,house,flat,"okres Liptovský Mikuláš",Pribylina,Pribylina
JudHzue4NhQ,house,NULL,"okres Dolný Kubín",Zázrivá,Zázrivá
JuHkAYV6JoA,house,flat,"okres Liptovský Mikuláš",Bobrovec,Bobrovec
JurDwbnUMLP,house,flat,"okres Liptovský Mikuláš",Vlachy,Vlachy
JuZoVvDAQMx,house,flat,"okres Čadca","Dlhá nad Kysucou","Dlhá nad Kysucou"
JujkenW1_dD,house,NULL,"okres Turčianske Teplice",Sklené,Sklené
JuIIElHC0cU,house,flat,"okres Žilina",Žilina,"Malá Praha"
JuOwPTDIr94,house,NULL,"okres Martin",Martin,Priekopa
Jug496eX3Gs,house,NULL,"okres Turčianske Teplice",Mošovce,Mošovce
JuTIxLYmsaK,house,flat,"okres Ružomberok",Hubová,Hubová
JuOddvSg_iO,house,flat,"okres Čadca",Zákopčie,Zákopčie
Ju_f1P774-u,house,"gently sloped","okres Žilina",Terchová,Terchová
Ju0LSKjfViu,house,flat,"okres Dolný Kubín",Párnica,Párnica
JuFJihogKZr,house,NULL,"okres Martin","Turčianske Kľačany","Turčianske Kľačany"
Juw-GSUdmIG,house,flat,"okres Žilina",Žilina,Bytčica
Jucdr_EmdH7,house,flat,"okres Žilina","Teplička nad Váhom","Teplička nad Váhom"
Ju5C1H5Abo0,house,"gently sloped","okres Ružomberok",Ružomberok,Hrboltová
Ju-cAw3rC7V,house,NULL,"okres Martin",Vrícko,Vrícko
JuRyz27itEW,house,flat,"okres Liptovský Mikuláš",Vlachy,Vlachy
JuPc1_kIcTs,house,other,"okres Martin",Turany,Turany
JuwEY-XQ--d,house,flat,"okres Liptovský Mikuláš",Vavrišovo,Vavrišovo
JujgHpJn1F3,house,"gently sloped","okres Liptovský Mikuláš",Važec,Važec
JuCDqPuA034,house,flat,"okres Turčianske Teplice",Mošovce,Mošovce
JuhhjX7seSg,house,"gently sloped","okres Žilina",Žilina,Trnové
Ju9MyQ5uKi3,house,flat,"okres Žilina","Rajecké Teplice","Rajecké Teplice"
JuOzT9FClFp,house,"mostly flat","okres Martin",Záborie,Záborie
Ju1tXdldNyS,house,flat,"okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto"
JuQ2hrgTY7r,house,"mostly flat","okres Liptovský Mikuláš",Pribylina,Pribylina
JuqU9D7znCx,house,"gently sloped","okres Turčianske Teplice","Turčianske Teplice",Stred
Juo6QlN-W6H,house,flat,"okres Žilina",Divinka,Divinka
JuXXQno7cBY,house,flat,"okres Liptovský Mikuláš",Podtureň,Podtureň
Ju3zQ1Nh4jQ,house,flat,"okres Ružomberok","Liptovské Sliače","Liptovské Sliače"
Junzj9FwgBR,house,"gently sloped","okres Liptovský Mikuláš",Važec,Važec
JukPbMQp4vL,house,"gently sloped","okres Ružomberok","Liptovské Sliače","Liptovské Sliače"
JurZyKShYtB,house,sloped,"okres Kysucké Nové Mesto","Horný Vadičov","Horný Vadičov"
JuIgoGx2_v8,house,flat,"okres Čadca",Čadca,Rieka
JuwqZ5PtbUb,house,flat,"okres Martin",Martin,Jahodníky
JuxW1O4IZfX,house,flat,"okres Dolný Kubín",Kraľovany,Kraľovany
JuZCH4Z4GtW,house,flat,"okres Martin",Vrútky,"Dolné Vrútky"
JudwE3rIvVz,house,flat,"okres Čadca",Oščadnica,Oščadnica
JuIGrD00dbC,house,flat,"okres Žilina",Žilina,Bytčica
JuFvFbiV3nGH,house,NULL,"okres Kysucké Nové Mesto","Kysucký Lieskovec","Kysucký Lieskovec"
JulkobtfeMA,house,"gently sloped","okres Liptovský Mikuláš",Dúbrava,Dúbrava
JuILcPMYY3I,house,NULL,"okres Čadca",Svrčinovec,Svrčinovec
JuOXuzHr_5v,house,flat,"okres Kysucké Nové Mesto","Kysucké Nové Mesto",NULL
JugA13oDi48,house,NULL,"okres Žilina","Dolný Hričov","Dolný Hričov"
JuboTIFLqNK,house,NULL,"okres Martin",Slovany,Slovany
JuDKS0g6D3f,house,other,"okres Žilina",Bitarová,Bitarová
JuJU1QTMNeE,house,NULL,"okres Turčianske Teplice",Jazernica,Jazernica
Ju4eYX0tWAV,house,"mostly flat","okres Kysucké Nové Mesto",Snežnica,Snežnica
Jud5gsaD9sR,house,flat,"okres Žilina",Krasňany,Krasňany
JuYDxLuRjG3,house,NULL,"okres Martin",Trebostovo,Trebostovo
Juaq4WwW9vx,house,NULL,"okres Martin",Slovany,Slovany
JuOJxRj9DKw,house,flat,"okres Čadca",Čierne,Čierne
JuJ4xyA2Mvr,house,"mostly flat","okres Martin",Podhradie,Podhradie
JudYTXBsh4Y,house,NULL,"okres Žilina",Divina,Divina
JupYVGV2PGl,house,"gently sloped","okres Martin",Martin,Jahodníky
JuDwofoMvZp,house,flat,"okres Martin",Dražkovce,Dražkovce
JuqvJh14Wgu,house,"gently sloped","okres Ružomberok",Ružomberok,"Biely Potok"
JuF72cqi1ME,house,"gently sloped","okres Žilina",Lietava,Lietava
JuT__REr8vI,house,flat,"okres Žilina",Žilina,"Staré mesto"
Ju4BYb2OXbI,house,flat,"okres Martin",Necpaly,Necpaly
JuWoCIVD5v7,house,flat,"okres Martin",Vrútky,Mexiko
JuP68rfpcZn,house,NULL,"okres Martin",Martin,Záturčie
JuEM42o9KEz,house,"gently sloped","okres Žilina",Žilina,"Mojšová Lúčka"
JuBBhpjm8uU,house,other,"okres Žilina",Varín,Varín
JuB-eq5YpsZ,house,flat,"okres Martin",Martin,Stred
JugwkPLjiSd,house,NULL,"okres Čadca",Turzovka,Stred
JuvSq281jGh,house,"gently sloped","okres Ružomberok","Liptovské Revúce","Liptovské Revúce"
Jui_ZoBED_0,house,NULL,"okres Žilina",Višňové,Višňové
JuJYdMwBoGD,house,flat,"okres Liptovský Mikuláš","Liptovský Hrádok",Dovalovo
JuRsdZ8Jr2V,house,flat,"okres Ružomberok",Ružomberok,"Biely Potok"
JuCaZmfJRdP,house,flat,"okres Ružomberok",Ludrová,Ludrová
JuAxDS1KQP8,house,flat,"okres Žilina","Lietavská Lúčka","Lietavská Lúčka"
JuKYmK8mVw6,house,flat,"okres Žilina",Stránske,Stránske
JunvCN2R0KwV,house,NULL,"okres Bytča",Hvozdnica,Hvozdnica
Jugb1InFMah,house,flat,"okres Liptovský Mikuláš","Liptovský Mikuláš",Okoličné
JuaFi1HiKe0,house,"mostly flat","okres Žilina","Rajecké Teplice","Rajecké Teplice"
JuMFo7ruEBZ,house,flat,"okres Martin",Valča,Valča
JuX-ONSG7MW,house,flat,"okres Ružomberok",Ružomberok,NULL
JuOaESnNFiy,house,"gently sloped","okres Žilina",Kunerad,Kunerad
JuhLO-Heh52,house,other,"okres Čadca",NULL,NULL
JuWoA-3_Vhw,house,flat,"okres Žilina",Mojš,Mojš
JuagtPiMN9S,house,"gently sloped","okres Bytča",Súľov-Hradná,Súľov-Hradná
JuTJoEU1yhL,house,flat,"okres Žilina",Kľače,Kľače
Jux1LioPBDR,house,flat,"okres Martin",Valča,Valča
Ju1Zyt94p9m,house,NULL,"okres Tvrdošín",Podbiel,Podbiel
JuSFm2ck_qD,house,NULL,"okres Ružomberok",Ružomberok,Rybárpole
JuR9KTBJMCB,house,flat,"okres Turčianske Teplice",Turček,Turček
