offer_id,offer_type,property_type,area,condition,agency,office_city
Ju3_oCKPJ8H,sale,"3-room apartment",67,"partially renovated","OVERENÉ REALITY","Banská Bystrica"
JuKy-dL9Ryo,rent,"2-room apartment",62,"new construction","WFG reality, s.r.o.",Žilina
JuR0t0CZHt8,rent,"2-room apartment",66,"partially renovated","Loviu, s.r.o.","Liptovský Mikuláš"
JuhcvPxM513,sale,"4-room apartment",78,"fully renovated","TUreality s.r.o.",Žilina
JunH7oZsc9z,sale,"1-room apartment",47,"new construction","HMS Services, a. s.",Žilina
JuyBFHxJEo2F,rent,"2-room apartment",36,"partially renovated","B10 Slovensko, a. s.",Žilina
JuUknu_3A4k,sale,"2-room apartment",54,"partially renovated",NULL,NULL
Ju7faBpvibU,sale,"3-room apartment",61,"fully renovated","Realitná kancelária",Bratislava
JuUS8gVE7MB,sale,"2-room apartment",67,"partially renovated","JPE. Reality - Jozef Pajer",Čadca
JuS8GjjsXwr,sale,"holiday apartment",23,"fully renovated","RIGHT POWER DEVELOPMENT, s.r.o.",Žilina
JuLlR3SdY11,sale,"2-room apartment",49,unrenovated,"Obec Liptovská Lúžna","Liptovská Lúžna"
Ju3xvc6aD2Y,sale,"holiday apartment",32,"new construction","RESIDENCE realitná kancelária","Liptovský Mikuláš"
Jus0-bkZHge,rent,"3-room apartment",68,"partially renovated","Realitná kancelária",Bratislava
Jul8pXByFOl,sale,"3-room apartment",92,"new construction",NULL,NULL
JuEK28Decyb,sale,"2-room apartment",44,"new construction","WFG reality, s.r.o.",Žilina
JujBEFh3fPq,sale,"3-room apartment",70,unrenovated,"Like Reality s.r.o.","Považská Bystrica"
Jubh8FOR_C9,rent,"studio apartment",22,"fully renovated",NULL,NULL
Jultmw18Gne,sale,"holiday apartment",97,"new construction","Occam New Home",Bratislava
JuDmcjiRx8S,sale,"4-room apartment",84,"partially renovated","ACTIVE - Reality, s. r. o.",Žilina
Junnm3hR6W5,sale,"2-room apartment",71,"partially renovated","Reality Alpia",Martin
JurzQ4OXOH_,rent,"studio apartment",30,"new construction","Reality Alpia",Martin
Ju88ayVM-YP5,rent,"4-room apartment",161,unrenovated,"OVERENÉ REALITY","Banská Bystrica"
Jui1Zkf_kg-,sale,"1-room apartment",35,"fully renovated","1. Reality Rent, s.r.o.",Žilina
Jun79Tn_Ep0,sale,"3-room apartment",67,"fully renovated","KRALIKOVA reality","Považská Bystrica"
JuR1WqY3g_N,sale,"2-room apartment",55,"fully renovated","Georgi Conev",Žilina
JuITWn48g9Q,sale,"1-room apartment",28,"new construction","LuxReality, s.r.o.","Nové Mesto nad Váhom"
JuiQqoYVioM,sale,"2-room apartment",50,"under construction",G-REAL,"Liptovský Mikuláš"
JuE40RXyw1_,sale,"2-room apartment",50,"new construction","Realitná kancelária RED, s.r.o.",Žilina
JuvTw1ebtHj,sale,"2-room apartment",54,"under construction","Istrofinal, s. r. o.",Žilina
Ju27eP_ig4Z,rent,"2-room apartment",51,"new construction","Safe reality s. r. o.",Žilina
JuwdgQhbLJx,sale,"3-room apartment",73,"partially renovated","Realitná kancelária",Bratislava
JuYwrDdapt0,sale,"3-room apartment",68,unrenovated,"Trioreality, s.r.o.",Čadca
JuQhVUDoHMr,sale,"2-room apartment",58,"fully renovated","Felicita Real s. r. o.",Martin
JuzIKTQ0UvK,sale,"4-room apartment",84,"partially renovated","HALO reality, s.r.o.",Prievidza
JuTnsSFnlFI,sale,"3-room apartment",58,"fully renovated","B10 Slovensko, a. s.",Žilina
JuY5BHrBXS_,rent,"4-room apartment",86,"fully renovated","AstonReal s.r.o.","Banská Bystrica"
JuDGw-se-Mg,rent,"1-room apartment",38,"new construction","Safe reality s. r. o.",Žilina
JuOMOLcEq4z,sale,"3-room apartment",68,"partially renovated","SLNOVRAT, s.r.o.",Olešná
JuQ4Jf_xqij,rent,"2-room apartment",70,"fully renovated","BeMi realitná kancelária",Nitra
Ju8GQ26KaaT,sale,"2-room apartment",50,"under construction","RK SPIRIT s.r.o.","Liptovský Mikuláš"
JuCMZI1bT6r,sale,"3-room apartment",65,unrenovated,"RS Mansory s.r.o.",Bratislava
Ju9csMkjbyN,rent,"3-room apartment",71,"partially renovated","B10 Slovensko, a. s.",Žilina
JuXGzvpMBBm,sale,"2-room apartment",60,"partially renovated","HALO reality, s.r.o.",Prievidza
Ju52lG6Waej,sale,"studio apartment",25,"new construction","RIEŠIME BÝVANIE",Bratislava
JuTQd4u0n33,sale,"2-room apartment",51,"fully renovated","RK SPIRIT s.r.o.","Liptovský Mikuláš"
JuwMlHIuC26,rent,"2-room apartment",31,"new construction","LEVEL REAL, s.r.o.",Trnava
Juuarx0CWmR,sale,"2-room apartment",47,"new construction","Estate Invest",Bratislava
Juh7IlKkDn_,sale,"4-room apartment",105,"partially renovated","Direct Real, spol. s r.o.",Bratislava
JuN8mAtD42x,rent,"3-room apartment",60,"fully renovated","Trioreality, s.r.o.",Čadca
JujdOeJ69tb,sale,"3-room apartment",76,unrenovated,"Realitná kancelária",Bratislava
Jun8HaIrjPB,rent,"3-room apartment",72,"fully renovated","OREA, s.r.o.","Dolný Kubín"
JuuKYbAy2In,sale,"3-room apartment",74,"partially renovated","B10 Slovensko, a. s.",Žilina
JuZ6EDDylkC,rent,"3-room apartment",85,"fully renovated",NULL,NULL
JuuQTLwI4_c,sale,"1-room apartment",37,"new construction","WFG reality, s.r.o.",Žilina
JuKXwWNmxYg,sale,"2-room apartment",62,"fully renovated","DRR INVEST, s. r. o.","Horný Hričov"
JutKizwTOP3,sale,"3-room apartment",86,"fully renovated","Reality IQ, s.r.o.",Žilina
Juki5wHUVn2,sale,"4-room apartment",76,"new construction","Bosen Group s.r.o.",Bratislava
Ju_PmXVPtoo,sale,"2-room apartment",55,unrenovated,"Crystin reality, s.r.o.",Žilina
JuaWfCrgS3s,sale,"4-room apartment",101,"under construction","Istrofinal, s. r. o.",Žilina
Ju1cdYuex4G,sale,"3-room apartment",79,"new construction","RE/MAX Slovakia",Bratislava
Ju6cRlkmMC_,rent,"1-room apartment",28,"fully renovated","FINREA - ak vám záleží na výsledku","Dolný Kubín"
JuFBiuRLpoy,rent,"2-room apartment",55,"new construction","Direct Real, spol. s r.o.",Bratislava
JuJEoP397IJ,sale,"3-room apartment",73,"new construction","AstonReal s.r.o.","Banská Bystrica"
JuCISBa6iwp,sale,"2-room apartment",68,unrenovated,"NajBývanie, s.r.o.",Ružomberok
JuQZcPPu9nd,sale,maisonette,175,"new construction","MGM reality",Žilina
JuYHImgOHO_,sale,"3-room apartment",105,"under construction","TATRA CITY RESIDENCE s. r. o.",Zvolen
JuIgM2fUqeh,rent,"2-room apartment",54,"fully renovated","Reality Simply",Martin
JuQydtvhuaC,sale,"3-room apartment",70,"fully renovated","TUreality s.r.o.",Žilina
Ju6JFF73eZc,sale,"4-room apartment",84,"partially renovated","ACTIVE - Reality, s. r. o.",Žilina
JupURRP8axF,sale,"4-room apartment",105,"new construction","WFG reality, s.r.o.",Žilina
Ju5Pax6FaXd,sale,"2-room apartment",65,unrenovated,"TUreality s.r.o.",Žilina
Juh13qbi4yL,sale,"2-room apartment",63,"new construction","ODEKO manažment s.r.o.",Žilina
JurbbuyjxWx,rent,"3-room apartment",132,"new construction","Realitná kancelária RED, s.r.o.",Žilina
JuPkeS3sVco,sale,"2-room apartment",56,"fully renovated","Direct Real, spol. s r.o.",Bratislava
JuqmZcqjzL5,sale,"2-room apartment",45,"development project","Teraz, a.s.",Žilina
JuRJMz106O3,sale,"holiday apartment",37,"under construction","RK SPIRIT s.r.o.","Liptovský Mikuláš"
Junr7vOGfgp,sale,"holiday apartment",46,"new construction","MK-CORP s.r.o.",Malacky
JuhrMWK4tz6,sale,"3-room apartment",120,"fully renovated","RESIDENCE realitná kancelária","Liptovský Mikuláš"
Jug-_AT8Wmt,sale,"3-room apartment",72,"partially renovated","Pro Real, s. r. o. realitná kancelária",Žilina
JuT4OhvaBo8,sale,"4-room apartment",140,"new construction",NULL,NULL
JuXxgiFzaw2,sale,"holiday apartment",36,"development project","KORSO Project, s.r.o.",Žilina
Juta8FGg1ms,sale,"4-room apartment",130,"new construction","Bosen Group s.r.o.",Bratislava
JutRcPoSw48,sale,"3-room apartment",76,"partially renovated","DRR INVEST, s. r. o.","Horný Hričov"
JunhLdbpvMU,sale,"3-room apartment",74,"new construction","Buby reality, s.r.o.",Žilina
JuAo_CCFbGo,sale,"1-room apartment",38,"new construction","TARGETreal s. r. o.",Žilina
JuIcnUNxIlt,sale,"2-room apartment",57,unrenovated,"ALFA SALUTO REAL s.r.o",Bratislava
JuroNkYo0Ud,sale,"3-room apartment",74,"partially renovated","LIF REAL",Martin
JuSS030a7te,rent,"1-room apartment",41,"fully renovated","Realitka pre každého",Žilina
JuoB7gmYVp_,sale,"2-room apartment",73,"fully renovated","RK SPIRIT s.r.o.","Liptovský Mikuláš"
Juw2GAhwVDz,sale,"3-room apartment",76,"fully renovated","TUreality s.r.o.",Žilina
JuNxbiZtMJl,sale,"2-room apartment",62,"partially renovated","StorkReal s. r. o.","Rajecká Lesná"
Ju93xLSe03c,rent,"1-room apartment",30,"partially renovated","MGM reality",Žilina
Ju8y_HCffnI,sale,"studio apartment",26,"partially renovated","Reality Alpia",Martin
JuDpUKm1R87,sale,"3-room apartment",102,"under construction","CANGURU s.r.o.","Rajecké Teplice"
JuyticuaW7A,sale,"3-room apartment",64,"under construction","ODEKO manažment s.r.o.",Žilina
JutwTj3bM_v,sale,"2-room apartment",51,"fully renovated","TUreality s.r.o.",Žilina
JuRvQ8h5ljK,rent,"3-room apartment",72,"fully renovated",NULL,NULL
Ju-D0j5Tx8q,sale,"3-room apartment",63,"partially renovated","Realitná kancelária",Bratislava
JuqL8yAiSJt,rent,"2-room apartment",43,"new construction","ETHOS reality, s. r. o.","Krásno nad Kysucou"
Juaqewf1vyV,sale,"3-room apartment",73,"new construction","B10 Slovensko, a. s.",Žilina
JufCUUh8n1P,sale,"3-room apartment",60,"partially renovated","LOYAL REALITY s.r.o.","Dolný Kubín"
JuEOy8Ch_fK,sale,"4-room apartment",128,"new construction","Reinoo a.s.",Žilina
JuAjD-DNY5d,sale,"studio apartment",21,"fully renovated","Gro & Partners",Žilina
JuXBeof4cBw,sale,"3-room apartment",123,"development project","ODEKO manažment s.r.o.",Žilina
JuCHpapFKG8,rent,"2-room apartment",48,"new construction","Reality ASTORIA, s.r.o.",Martin
JufBWbzCmcn,sale,"4-room apartment",100,"partially renovated","Cooper Real s.r.o",Bratislava
JuN-wthtGNF,sale,"3-room apartment",143,"under construction","Realitná kancelária",Bratislava
Ju54zsovXgd,rent,"3-room apartment",63,"partially renovated","EASY centrum bývania, s.r.o.",Žilina
JuZqmgmus3f,sale,"3-room apartment",70,"partially renovated","Realitná kancelária",Bratislava
JuUygteSgA9,rent,"2-room apartment",50,"partially renovated","Safe reality s. r. o.",Žilina
JuEhBGLGdyB,sale,"3-room apartment",65,"partially renovated","RE/MAX Slovakia",Bratislava
Juhy56IDgaZ,sale,"2-room apartment",55,"fully renovated","Reality Center, s.r.o.",Martin
Ju8yXfa5xfL,sale,"3-room apartment",61,"partially renovated","TUreality s.r.o.",Žilina
Jul5uPR1of1,sale,"2-room apartment",42,"new construction","RESIDENCE realitná kancelária","Liptovský Mikuláš"
JuySZhvO7pX,sale,"3-room apartment",81,"new construction",NULL,NULL
Ju4YZRhAzaf,sale,"studio apartment",32,"fully renovated","RIEŠIME BÝVANIE",Bratislava
JuvxnqGhrvB,rent,"3-room apartment",75,"partially renovated","Realitné kancelárie SR",Bratislava
JudF4Y5NRYO,rent,"2-room apartment",39,"new construction","RESIDENCE realitná kancelária","Liptovský Mikuláš"
JuAyS5TfUDQ,sale,"3-room apartment",79,unrenovated,"Direct Real, spol. s r.o.",Bratislava
JuWSXBSHA4W,rent,"studio apartment",27,"fully renovated","1. Reality Rent, s.r.o.",Žilina
JuSwv58uXFj,rent,"studio apartment",23,"fully renovated","FINREA - ak vám záleží na výsledku","Dolný Kubín"
JuSEGf_jb32,rent,"2-room apartment",58,"new construction","BeMi realitná kancelária",Nitra
JuiTYBIhgYl,sale,"3-room apartment",62,"fully renovated","DRR INVEST, s. r. o.","Horný Hričov"
JuHOcENm8Ia,sale,"2-room apartment",50,"partially renovated","AstonReal s.r.o.","Banská Bystrica"
Juf0d9bgzD3,sale,"4-room apartment",103,"fully renovated","MGM reality",Žilina
JucQo5vONzU,sale,"3-room apartment",70,"partially renovated","MGM reality",Žilina
JugZvx-B3PM,sale,"1-room apartment",34,"partially renovated","TUreality s.r.o.",Žilina
Ju6YQzBpIXw,sale,"4-room apartment",79,"under construction","Istrofinal, s. r. o.",Žilina
JuFfQA7zSPP,sale,"3-room apartment",56,"partially renovated","RECLOUD Reality a.s.",Bratislava
JuTapZ_iKYW,sale,"3-room apartment",95,"fully renovated","Mamud Reality s. r. o.",Žilina
JudSBCw12x9,sale,"2-room apartment",58,"partially renovated","TUreality s.r.o.",Žilina
JujwaDNeJ1i,rent,"2-room apartment",60,"partially renovated","BR ACADEMY, s. r. o.","Kysucké Nové Mesto"
Jugv6VHMojr,sale,"3-room apartment",76,"partially renovated","Safe reality s. r. o.",Žilina
Jud2teyAuDu,sale,"1-room apartment",41,"new construction","RESIDENCE realitná kancelária","Liptovský Mikuláš"
Jusrma_M5xf,rent,"3-room apartment",72,"fully renovated",NULL,NULL
Ju2WQT7unmV,sale,"4-room apartment",85,"fully renovated","RE/MAX Slovakia",Bratislava
JuJvNTKAcv8,sale,"1-room apartment",35,"new construction","MG real, s.r.o.",Topoľčany
Ju8f-wmtjXf,sale,"3-room apartment",52,"fully renovated","FINREA - ak vám záleží na výsledku","Dolný Kubín"
JuqcGRiE3sH,sale,"2-room apartment",69,"fully renovated","OVERENÉ REALITY","Banská Bystrica"
Jue9scT0OOX,sale,"2-room apartment",70,"under construction","CANGURU s.r.o.","Rajecké Teplice"
JuauSxK_Grt,sale,"3-room apartment",65,unrenovated,"TUreality s.r.o.",Žilina
JuETFY0yocs,rent,"3-room apartment",52,"fully renovated","Realitné kancelárie SR",Bratislava
JucHYWmAD9T,sale,"2-room apartment",53,"partially renovated","TUreality s.r.o.",Žilina
Juh6SSze_tY,sale,"3-room apartment",71,"fully renovated","SLNOVRAT, s.r.o.",Olešná
Ju5yq04Fo6g,sale,"holiday apartment",37,"new construction","REALITY SPOLU",Bratislava
JuUEgGZy7bV,sale,"holiday apartment",54,"development project","KORSO Project, s.r.o.",Žilina
Juo8y036wNc,rent,"2-room apartment",57,"fully renovated","Fortio Popper s.r.o.",Bytča
JuPeIRhvo6g,rent,"2-room apartment",52,"new construction","BRATISLAVA REAL s.r.o.",Senec
Juq3ES8kVdO,rent,"2-room apartment",74,"fully renovated","B10 Slovensko, a. s.",Žilina
Ju6GKonKAZ1,sale,"holiday apartment",42,"new construction","RESIDENCE realitná kancelária","Liptovský Mikuláš"
JupL8ZjnO78,rent,"1-room apartment",39,"fully renovated",NULL,NULL
JuzI-cY3VGB,rent,"2-room apartment",60,"partially renovated","WFG reality, s.r.o.",Žilina
Jurvisl8PBq,rent,"2-room apartment",75,"new construction","Buby reality, s.r.o.",Žilina
JuaFgvo5Zms,sale,"3-room apartment",91,unrenovated,"B10 Slovensko, a. s.",Žilina
JuZWfK8jXMU,sale,"2-room apartment",72,"fully renovated","YFE, s.r.o.",Žilina
Ju-TqbMGsYQ,sale,"1-room apartment",30,"partially renovated","TUreality s.r.o.",Žilina
JuV4el-7B8H,sale,"3-room apartment",90,"new construction","Financial Hotels Management, s.r.o.",Žilina
JuC3qFxZRHA,rent,"2-room apartment",63,"fully renovated","TARGETreal s. r. o.",Žilina
JuMvMAnJyAh,sale,"2-room apartment",49,"new construction","Reality Center, s.r.o.",Martin
JuOtmAhAnN-,rent,"3-room apartment",80,"fully renovated","LAVENTURA s.r.o.",Žilina
Ju2vUj8wFP4,sale,"2-room apartment",45,"new construction",NULL,NULL
Ju3mlVUzkyZ,sale,"2-room apartment",62,"new construction","TARGETreal s. r. o.",Žilina
JuogofXpdYk,sale,"holiday apartment",26,"new construction",liptoreal,"Liptovský Mikuláš"
Ju6MtpU11Ir,sale,"3-room apartment",66,"fully renovated","B10 Slovensko, a. s.",Žilina
Ju7oSLy3Fih,sale,"holiday apartment",63,"new construction","All 4 Life, s.r.o.",Piešťany
JuuGHfugsJe,rent,"2-room apartment",41,"new construction","WFG reality, s.r.o.",Žilina
JuK1Ou62x1-,rent,"2-room apartment",NULL,"fully renovated","RECLOUD Reality a.s.",Bratislava
JubVv2aiyY0,sale,"4-room apartment",67,"new construction","PROMINENT REAL s.r.o.",Bratislava
JuhBe2gFJxv,sale,"4-room apartment",NULL,"new construction",NULL,NULL
Juw-fZcag7r,sale,"3-room apartment",138,"new construction","ODEKO manažment s.r.o.",Žilina
JuTBd7ApfBa,sale,"1-room apartment",38,"new construction","Eli real realitná kancelária",Košice
JuUG1bLiAAp,sale,"2-room apartment",45,"new construction",NULL,NULL
JudWP4utpDg,sale,"1-room apartment",30,"partially renovated","TARGETreal s. r. o.",Žilina
JuajpkZsNxA,sale,"4-room apartment",80,"partially renovated","A-Byt Consult, s.r.o.",Ružomberok
Jum1UMzjJKg,sale,"2-room apartment",43,"fully renovated","SLNOVRAT, s.r.o.",Olešná
Ju4BxKT1MU9,sale,"holiday apartment",31,"new construction","Realitné kancelárie SR",Bratislava
JuQ9TAROpsL,sale,"3-room apartment",74,"fully renovated","PhDr. Miloš Kocúr - BKM Consulting",Skalité
JuTSuAfPUaV,sale,"holiday apartment",73,"under construction","Tatry mountain resorts, a.s.","Liptovský Mikuláš"
Juqt_RyaYSM,sale,"4-room apartment",79,"under construction","Istrofinal, s. r. o.",Žilina
JuxOi4dlZ8Z,rent,"2-room apartment",58,"partially renovated","Reality Alpia",Martin
JuPxUBuwHJ4,sale,"4-room apartment",272,"new construction","RIEŠIME BÝVANIE",Bratislava
JuWJdu9GaUY,sale,"2-room apartment",47,"new construction",NULL,NULL
JuxSKEPCvI9,rent,"1-room apartment",40,"new construction","JPE. Reality - Jozef Pajer",Čadca
Juk34S4WJno,sale,"3-room apartment",115,unrenovated,"MGM reality",Žilina
JuBHdW0whmB,sale,"3-room apartment",66,"partially renovated","B10 Slovensko, a. s.",Žilina
Ju0roQQA2MK,sale,"holiday apartment",37,"new construction","ML realitný& finančny servis s.r.o. , BrokerSoft s.r.o. , Monika Launerová - SZČO","Banská Bystrica"
JugFcThrxWKY,sale,"3-room apartment",60,"new construction",G-REAL,"Liptovský Mikuláš"
JumIry3ptkT,rent,"2-room apartment",63,"new construction","BeMi realitná kancelária",Nitra
JuJkIhlhMxu,rent,"3-room apartment",71,"partially renovated","1. Reality Rent, s.r.o.",Žilina
JuJvkR7cHC5,sale,"3-room apartment",90,"partially renovated","Realitná kancelária",Bratislava
JuPAGeZeFHi,sale,"2-room apartment",50,unrenovated,"FINREA - ak vám záleží na výsledku","Dolný Kubín"
JuFc31jRHf3,sale,"2-room apartment",65,"fully renovated",NULL,NULL
Jux8wTB74lK,sale,"3-room apartment",68,unrenovated,"AstonReal s.r.o.","Banská Bystrica"
JuHzNQ7Qr-d,sale,"3-room apartment",76,unrenovated,"Realitná kancelária",Bratislava
JuWNJll5MyrA,sale,"3-room apartment",88,"new construction","Reinoo a.s.",Žilina
JunnDIKOU8H,rent,"2-room apartment",64,"new construction",NULL,NULL
JuvSfTkJipf,sale,"2-room apartment",58,"development project","ODEKO manažment s.r.o.",Žilina
Ju1CJs1XMWM,rent,"2-room apartment",49,"new construction",NULL,NULL
Ju52OxQfZ-e,rent,"3-room apartment",73,"fully renovated","FINREA - ak vám záleží na výsledku","Dolný Kubín"
JulIgw-I980,sale,"studio apartment",27,"new construction","Direct Real, spol. s r.o.",Bratislava
JutKisdKgjR,sale,"2-room apartment",57,"new construction","RESIDENCE realitná kancelária","Liptovský Mikuláš"
JulDE6qv7sX,sale,"4-room apartment",180,unrenovated,"Realitná kancelária DOM",Žilina
Ju_WUvCjVPC,sale,"holiday apartment",41,"fully renovated","Reality Alpia",Martin
JuI7RPoOfX3,sale,"3-room apartment",70,"partially renovated","Reality IQ, s.r.o.",Žilina
Jug8bqAUxzc,sale,"2-room apartment",50,"partially renovated","HD reality group s.r.o","Banská Bystrica"
JuNYFhhNxB9,sale,"holiday apartment",44,"new construction","Buby reality, s.r.o.",Žilina
JuTJKH0pdjPh,sale,"4-room apartment",91,"fully renovated","TUreality s.r.o.",Žilina
JuyttBliR9C,sale,"3-room apartment",70,"fully renovated","B10 Slovensko, a. s.",Žilina
JuMi-Tt27An,sale,"2-room apartment",48,"new construction","STRATEGIC REALITY","Liptovský Mikuláš"
JuWmtnyPS8K,sale,"3-room apartment",110,"fully renovated","B10 Slovensko, a. s.",Žilina
Juv5BxkBnXj,sale,"4-room apartment",172,"under construction","Realitná kancelária",Bratislava
Juhppb1YIBH,sale,"2-room apartment",54,"fully renovated","FISCHER & PARTNERS, s.r.o.",Ružomberok
Juug2Jz1Pse,rent,"1-room apartment",28,"fully renovated","KA Real","Banská Bystrica"
JuUcmtKJgcX,sale,"2-room apartment",45,"fully renovated","HD reality group s.r.o","Banská Bystrica"
JuZrguawZAO,sale,"2-room apartment",64,"fully renovated",NULL,NULL
JuR_XmdYxiI,rent,"1-room apartment",43,"new construction","Reality Alpia",Martin
JugHDSXoGA9,sale,"3-room apartment",76,"partially renovated","bezmaklérov, s.r.o.",Žilina
Ju7QL5RGfkF,sale,"studio apartment",32,"new construction","Reality Alpia",Martin
JuKdeWhe2o7,sale,"holiday apartment",38,"new construction",Limaxreal,"Liptovský Mikuláš"
JuN5ogzbwb6,sale,"studio apartment",21,"fully renovated","MGM reality",Žilina
JukyEz3oR2iD,sale,"2-room apartment",57,"partially renovated","Direct Real, spol. s r.o.",Bratislava
JuUrOuQWCVS,sale,"3-room apartment",83,"new construction","TUreality s.r.o.",Žilina
JuOrA9qwl7f,sale,"3-room apartment",85,"partially renovated","TUreality s.r.o.",Žilina
JuwL1ope4JQ,rent,"2-room apartment",56,"fully renovated",NULL,NULL
JuGLEI81NEj,sale,"3-room apartment",82,unrenovated,"MGM reality",Žilina
Jur94HxnWLm,rent,"studio apartment",24,"fully renovated","JPE. Reality - Jozef Pajer",Čadca
Ju3hr4RXLjv,sale,maisonette,NULL,"fully renovated","RECLOUD Reality a.s.",Bratislava
JugZ1tAn0SZ,rent,"1-room apartment",37,"fully renovated",NULL,NULL
Juc_BdIYUe1,rent,"3-room apartment",68,"fully renovated",NULL,NULL
JuOs2hhR_fq,sale,"1-room apartment",56,"fully renovated","HALO reality, s.r.o.",Prievidza
JuWjsR8x7Sv,rent,"2-room apartment",61,"partially renovated","FINREA - ak vám záleží na výsledku","Dolný Kubín"
Ju89eBckNJI,sale,"2-room apartment",69,"under construction","CANGURU s.r.o.","Rajecké Teplice"
JuUeGi9MZcI,sale,"holiday apartment",79,"new construction","RESIDENCE realitná kancelária","Liptovský Mikuláš"
JuztOys4YDo,sale,"holiday apartment",65,"new construction","J.M.H. s.r.o.","Liptovský Hrádok"
JuBe2LSvIsNx,sale,"2-room apartment",66,"new construction","AstonReal s.r.o.","Banská Bystrica"
JuX5UJf-pU4,sale,"holiday apartment",43,"new construction","RESIDENCE realitná kancelária","Liptovský Mikuláš"
Juh8S_7FwJj,sale,"1-room apartment",47,unrenovated,"Vianema s.r.o.",Bratislava
JukRhMNGZ-C,sale,"2-room apartment",47,"new construction",NULL,NULL
JunH90jZGku,sale,"1-room apartment",31,"development project","Effecting s.r.o.",Bratislava
JuzxsN9HYse,sale,"2-room apartment",38,"new construction","OVERENÉ REALITY","Banská Bystrica"
JulRM1RZW6m,rent,"4-room apartment",136,"new construction","Realitná kancelária RED, s.r.o.",Žilina
JuIVEdX9aqM,sale,"2-room apartment",66,"partially renovated","FINREA - ak vám záleží na výsledku","Dolný Kubín"
Ju23LHSYosl,sale,"1-room apartment",29,"new construction",G-REAL,"Liptovský Mikuláš"
JuNnPRzxLFf,rent,"2-room apartment",NULL,"fully renovated",NULL,NULL
JuMfaZM03jX,sale,"3-room apartment",64,"fully renovated","TUreality s.r.o.",Žilina
Ju1KgFqJaOR,sale,"2-room apartment",43,"new construction","REALITY FAIR","Banská Bystrica"
Ju4lgcUtMo2,rent,"2-room apartment",68,unrenovated,"X-REAL, s. r. o.",Žilina
Ju2DPhpZEXH,sale,"4-room apartment",127,"development project","KORSO Project, s.r.o.",Žilina
JuqFaXjCOjj,sale,"1-room apartment",30,"fully renovated","Reality ASTORIA, s.r.o.",Martin
JuoHqPCC27P,sale,"holiday apartment",97,"fully renovated","REALITY SPOLU",Bratislava
Ju8yXTZyQ0c,sale,"3-room apartment",89,"partially renovated","TUreality s.r.o.",Žilina
Juh0xQ8lAwr,sale,"holiday apartment",46,"new construction","MK-CORP s.r.o.",Malacky
JuFMzwDkckH,rent,"3-room apartment",86,"fully renovated",NULL,NULL
JuB3Z9PEAiq,rent,"3-room apartment",74,"fully renovated","Safe reality s. r. o.",Žilina
JuolQI_qYfx,sale,"holiday apartment",44,"new construction","RESIDENCE realitná kancelária","Liptovský Mikuláš"
JujVD_-rIKd,sale,"2-room apartment",40,"new construction",NULL,NULL
JuGX51SpwM8,rent,"3-room apartment",80,unrenovated,"OREA, s.r.o.","Dolný Kubín"
Ju8MQ6z2y19,sale,"1-room apartment",38,"new construction","WFG reality, s.r.o.",Žilina
JudIm98MNcc,sale,"3-room apartment",69,"fully renovated","Realitná kancelária RED, s.r.o.",Žilina
JuEn89TLzyn,rent,"2-room apartment",59,"partially renovated",NULL,NULL
JuDVCgxcWoV,rent,"1-room apartment",30,"partially renovated","KES - RV s.r.o.",Rožňava
JurCt3kGKjX,sale,"3-room apartment",80,"partially renovated","ROSA reality","Kysucké Nové Mesto"
Ju4rzPnW6--,rent,"1-room apartment",44,"new construction",NULL,NULL
JudLFAAMGyd,sale,"3-room apartment",72,unrenovated,"RESIDENCE realitná kancelária","Liptovský Mikuláš"
JuAF6zTk4aw,sale,"3-room apartment",86,"new construction","ODEKO manažment s.r.o.",Žilina
JurXcD9fbrUY,sale,"4-room apartment",162,"fully renovated","Realitná kancelária RED, s.r.o.",Žilina
JuPIcosPUIK,rent,"2-room apartment",54,"fully renovated",NULL,NULL
JuviN4c9fMi,sale,"2-room apartment",63,"new construction",G-REAL,"Liptovský Mikuláš"
Jux3fZyBY08,sale,"2-room apartment",67,"fully renovated","HD reality group s.r.o","Banská Bystrica"
JuzYHHeYN5Y,sale,"3-room apartment",82,unrenovated,"Safe reality s. r. o.",Žilina
JulrtoBvNUl,sale,"4-room apartment",102,"fully renovated","MGM reality",Žilina
JunJQlPuUZ5,sale,"3-room apartment",74,"new construction",NULL,NULL
Ju7Y_BuXfpd,sale,"3-room apartment",66,unrenovated,"Reality Center, s.r.o.",Martin
JuIQRanSNHE,sale,"holiday apartment",35,"new construction","MK-CORP s.r.o.",Malacky
Ju-oy7KMPvG,sale,"2-room apartment",42,"new construction","CANGURU s.r.o.","Rajecké Teplice"
JuGK6bfHjeP,sale,"1-room apartment",30,"partially renovated","Reality ELIÁŠ",Nitra
Juow0UUu95a,sale,"holiday apartment",26,"new construction","RIEŠIME BÝVANIE",Bratislava
Jua2VQSxknR,rent,"2-room apartment",65,"fully renovated","Safe reality s. r. o.",Žilina
Jute43unDDv,rent,"2-room apartment",53,"fully renovated","FINREA - ak vám záleží na výsledku","Dolný Kubín"
JuhboaiL4kD,sale,"holiday apartment",1200,"partially renovated","Apollo House",Bratislava
JuvEgSpY9yR,sale,"3-room apartment",75,"partially renovated",NULL,NULL
JunTVXk3Mti,sale,"3-room apartment",82,"fully renovated","Real Reality Development s.r.o.",Martin
JuuSRj_dS1E,sale,"1-room apartment",30,"fully renovated",NULL,NULL
